# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 6.79667722 2.20689655
2.43000000 0.00000000 2.20689655
2.49000000 4.61804423 3.86206897
2.55000000 6.60493668 6.34482759
2.61000000 0.00000000 6.34482759
2.67000000 0.00000000 6.34482759
2.73000000 5.76270356 8.82758621
2.79000000 0.00000000 8.82758621
2.85000000 3.52510483 10.48275862
2.91000000 3.38124338 12.13793103
2.97000000 0.00000000 12.13793103
3.03000000 0.00000000 12.13793103
3.09000000 0.00000000 12.13793103
3.15000000 0.00000000 12.13793103
3.21000000 0.00000000 12.13793103
3.27000000 0.66943762 12.55172414
3.33000000 0.00000000 12.55172414
3.39000000 0.00000000 12.55172414
3.45000000 1.20281453 13.37931034
3.51000000 0.00000000 13.37931034
3.57000000 0.00000000 13.37931034
3.63000000 0.00000000 13.37931034
3.69000000 0.00000000 13.37931034
3.75000000 0.00000000 13.37931034
3.81000000 0.00000000 13.37931034
3.87000000 0.00000000 13.37931034
3.93000000 1.85389127 15.03448276
3.99000000 1.79855541 16.68965517
4.05000000 1.09103787 17.72413793
4.11000000 0.00000000 17.72413793
4.17000000 0.96053897 18.68965517
4.23000000 0.00000000 18.68965517
4.29000000 0.00000000 18.68965517
4.35000000 0.00000000 18.68965517
4.41000000 0.00000000 18.68965517
4.47000000 0.71651656 19.51724138
4.53000000 0.00000000 19.51724138
4.59000000 0.00000000 19.51724138
4.65000000 0.00000000 19.51724138
4.71000000 1.77473211 21.79310345
4.77000000 0.36704736 22.27586207
4.83000000 0.30684423 22.68965517
4.89000000 0.14968030 22.89655172
4.95000000 0.00000000 22.89655172
5.01000000 0.14259594 23.10344828
5.07000000 0.27848180 23.51724138
5.13000000 0.00000000 23.51724138
5.19000000 0.26575305 23.93103448
5.25000000 0.51942694 24.75862069
5.31000000 0.25387746 25.17241379
5.37000000 0.00000000 25.17241379
5.43000000 0.00000000 25.17241379
5.49000000 0.00000000 25.17241379
5.55000000 0.00000000 25.17241379
5.61000000 0.00000000 25.17241379
5.67000000 0.00000000 25.17241379
5.73000000 0.10901207 25.37931034
5.79000000 0.00000000 25.37931034
5.85000000 0.00000000 25.37931034
5.91000000 0.00000000 25.37931034
5.97000000 0.00000000 25.37931034
