# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 7.92196000 1.65517000
2.38000000 0.00000000 1.65517000
2.42000000 2.46895000 2.20690000
2.46000000 0.00000000 2.20690000
2.50000000 6.94042000 3.86207000
2.54000000 10.08530000 6.34483000
2.58000000 0.00000000 6.34483000
2.62000000 0.00000000 6.34483000
2.66000000 0.00000000 6.34483000
2.70000000 0.00000000 6.34483000
2.74000000 0.00000000 6.34483000
2.78000000 2.80639000 7.17241000
2.82000000 10.90940000 10.48280000
2.86000000 0.00000000 10.48280000
2.90000000 0.00000000 10.48280000
2.94000000 5.01850000 12.13790000
2.98000000 0.00000000 12.13790000
3.02000000 0.00000000 12.13790000
3.06000000 0.00000000 12.13790000
3.10000000 0.00000000 12.13790000
3.14000000 0.00000000 12.13790000
3.18000000 0.00000000 12.13790000
3.22000000 0.00000000 12.13790000
3.26000000 0.00000000 12.13790000
3.30000000 1.99164000 12.96550000
3.34000000 0.00000000 12.96550000
3.38000000 0.00000000 12.96550000
3.42000000 0.92716700 13.37930000
3.46000000 0.00000000 13.37930000
3.50000000 0.00000000 13.37930000
3.54000000 0.00000000 13.37930000
3.58000000 0.00000000 13.37930000
3.62000000 0.00000000 13.37930000
3.66000000 0.00000000 13.37930000
3.70000000 0.00000000 13.37930000
3.74000000 0.00000000 13.37930000
3.78000000 0.00000000 13.37930000
3.82000000 0.00000000 13.37930000
3.86000000 0.00000000 13.37930000
3.90000000 0.00000000 13.37930000
3.94000000 2.79434000 15.03450000
3.98000000 2.73845000 16.68970000
4.02000000 0.00000000 16.68970000
4.06000000 3.94740000 19.17240000
4.10000000 0.00000000 19.17240000
4.14000000 0.84362500 19.72410000
4.18000000 6.20668000 23.86210000
4.22000000 0.00000000 23.86210000
4.26000000 0.00000000 23.86210000
4.30000000 0.00000000 23.86210000
4.34000000 0.00000000 23.86210000
4.38000000 0.00000000 23.86210000
4.42000000 0.00000000 23.86210000
4.46000000 0.00000000 23.86210000
4.50000000 4.28427000 27.17240000
4.54000000 0.00000000 27.17240000
4.58000000 0.00000000 27.17240000
4.62000000 0.00000000 27.17240000
4.66000000 4.24482000 30.68970000
4.70000000 4.90927000 34.82760000
4.74000000 3.86141000 38.13790000
4.78000000 0.00000000 38.13790000
4.82000000 3.11191000 40.89660000
4.86000000 0.00000000 40.89660000
4.90000000 0.00000000 40.89660000
4.94000000 0.00000000 40.89660000
4.98000000 0.00000000 40.89660000
5.02000000 0.86066700 41.72410000
5.06000000 0.00000000 41.72410000
5.10000000 0.00000000 41.72410000
5.14000000 1.64190000 43.37930000
5.18000000 1.61664000 45.03450000
5.22000000 1.59196000 46.68970000
5.26000000 0.00000000 46.68970000
5.30000000 4.63279000 51.65520000
5.34000000 3.04243000 54.96550000
5.38000000 0.00000000 54.96550000
5.42000000 0.00000000 54.96550000
5.46000000 0.00000000 54.96550000
5.50000000 0.00000000 54.96550000
5.54000000 0.00000000 54.96550000
5.58000000 0.69658600 55.79310000
5.62000000 0.00000000 55.79310000
5.66000000 0.00000000 55.79310000
5.70000000 0.00000000 55.79310000
5.74000000 0.98744000 57.03450000
5.78000000 0.00000000 57.03450000
5.82000000 0.00000000 57.03450000
5.86000000 0.63160900 57.86210000
5.90000000 2.49229000 61.17240000
5.94000000 1.22942000 62.82760000
5.98000000 0.00000000 62.82760000
6.02000000 2.39392000 66.13790000
6.06000000 0.00000000 66.13790000
6.10000000 0.00000000 66.13790000
6.14000000 0.00000000 66.13790000
6.18000000 4.54314000 72.75860000
6.22000000 3.36367000 77.72410000
6.26000000 2.21388000 81.03450000
6.30000000 1.09293000 82.68970000
6.34000000 0.00000000 82.68970000
6.38000000 1.06569000 84.34480000
6.42000000 0.00000000 84.34480000
6.46000000 4.15785000 90.96550000
6.50000000 1.02671000 92.62070000
6.54000000 0.33806200 93.17240000
6.58000000 0.00000000 93.17240000
6.62000000 0.00000000 93.17240000
6.66000000 0.00000000 93.17240000
6.70000000 0.00000000 93.17240000
6.74000000 0.00000000 93.17240000
6.78000000 0.00000000 93.17240000
6.82000000 0.27201400 93.65520000
6.86000000 2.76533000 98.62070000
6.90000000 0.91112000 100.27600000
6.94000000 0.00000000 100.27600000
6.98000000 2.67106000 105.24100000
7.02000000 0.88023700 106.89700000
