# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 5.14120147 1.65517241
2.43000000 1.63015404 2.20689655
2.49000000 9.31525608 5.51724138
2.55000000 2.22051708 6.34482759
2.61000000 0.00000000 6.34482759
2.67000000 0.00000000 6.34482759
2.73000000 3.87473258 8.00000000
2.79000000 1.85493788 8.82758621
2.85000000 3.55532044 10.48275862
2.91000000 3.41022589 12.13793103
2.97000000 0.00000000 12.13793103
3.03000000 0.00000000 12.13793103
3.09000000 0.00000000 12.13793103
3.15000000 0.00000000 12.13793103
3.21000000 0.00000000 12.13793103
3.27000000 0.67517574 12.55172414
3.33000000 0.00000000 12.55172414
3.39000000 0.00000000 12.55172414
3.45000000 0.00000000 12.55172414
3.51000000 1.17200565 13.37931034
3.57000000 0.00000000 13.37931034
3.63000000 0.00000000 13.37931034
3.69000000 0.00000000 13.37931034
3.75000000 0.00000000 13.37931034
3.81000000 0.00000000 13.37931034
3.87000000 0.00000000 13.37931034
3.93000000 0.93489100 14.20689655
3.99000000 2.72095772 16.68965517
4.05000000 0.80695249 17.44827586
4.11000000 0.14246622 17.58620690
4.17000000 0.83037624 18.41379310
4.23000000 0.00000000 18.41379310
4.29000000 0.00000000 18.41379310
4.35000000 0.00000000 18.41379310
4.41000000 0.00000000 18.41379310
4.47000000 0.72265822 19.24137931
4.53000000 0.00000000 19.24137931
4.59000000 0.00000000 19.24137931
4.65000000 0.00000000 19.24137931
4.71000000 1.13905548 20.68965517
4.77000000 0.95192622 21.93103448
4.83000000 0.30947436 22.34482759
4.89000000 0.05032110 22.41379310
4.95000000 0.14732580 22.62068966
5.01000000 0.14381821 22.82758621
5.07000000 0.28086882 23.24137931
5.13000000 0.00000000 23.24137931
5.19000000 0.00000000 23.24137931
5.25000000 0.78581885 24.48275862
5.31000000 0.25605358 24.89655172
5.37000000 0.00000000 24.89655172
5.43000000 0.00000000 24.89655172
5.49000000 0.00000000 24.89655172
5.55000000 0.00000000 24.89655172
5.61000000 0.00000000 24.89655172
5.67000000 0.00000000 24.89655172
5.73000000 0.10994648 25.10344828
5.79000000 0.00000000 25.10344828
5.85000000 0.00000000 25.10344828
5.91000000 0.00000000 25.10344828
5.97000000 0.00000000 25.10344828
