# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 1.81019112 0.54545455
2.49000000 1.72400823 1.09090909
2.55000000 6.02740085 3.09090909
2.61000000 0.00000000 3.09090909
2.67000000 4.49820763 4.72727273
2.73000000 1.91229550 5.45454545
2.79000000 3.66186754 6.90909091
2.85000000 2.19332016 7.81818182
2.91000000 5.89066682 10.36363636
2.97000000 1.61573491 11.09090909
3.03000000 1.55238104 11.81818182
3.09000000 1.11951119 12.36363636
3.15000000 0.00000000 12.36363636
3.21000000 0.00000000 12.36363636
3.27000000 0.33321926 12.54545455
3.33000000 0.00000000 12.54545455
3.39000000 0.00000000 12.54545455
3.45000000 0.00000000 12.54545455
3.51000000 0.00000000 12.54545455
3.57000000 0.00000000 12.54545455
3.63000000 0.54080991 12.90909091
3.69000000 0.78504896 13.45454545
3.75000000 0.00000000 13.45454545
3.81000000 0.00000000 13.45454545
3.87000000 0.00000000 13.45454545
3.93000000 0.46139645 13.81818182
3.99000000 0.22381223 14.00000000
4.05000000 0.00000000 14.00000000
4.11000000 0.21093392 14.18181818
4.17000000 0.61472297 14.72727273
4.23000000 1.69265597 16.27272727
4.29000000 1.54883841 17.72727273
4.35000000 3.01281434 20.63636364
4.41000000 0.73284799 21.36363636
4.47000000 0.89163319 22.27272727
4.53000000 0.52090232 22.81818182
4.59000000 1.35299508 24.27272727
4.65000000 1.97745724 26.45454545
4.71000000 0.64246591 27.18181818
4.77000000 1.56601278 29.00000000
4.83000000 0.45820434 29.54545455
4.89000000 0.52153405 30.18181818
4.95000000 0.65438688 31.00000000
5.01000000 0.35489277 31.45454545
5.07000000 0.55446839 32.18181818
5.13000000 0.00000000 32.18181818
5.19000000 0.66140617 33.09090909
5.25000000 0.00000000 33.09090909
5.31000000 0.63185020 34.00000000
5.37000000 0.24712387 34.36363636
5.43000000 0.24169280 34.72727273
5.49000000 1.18219407 36.54545455
5.55000000 1.04109438 38.18181818
5.61000000 0.11321603 38.36363636
5.67000000 0.38791419 39.00000000
5.73000000 0.21704739 39.36363636
5.79000000 0.00000000 39.36363636
5.85000000 0.00000000 39.36363636
5.91000000 0.10201384 39.54545455
5.97000000 0.00000000 39.54545455
