# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 2.63108000 0.54545500
2.50000000 0.84918700 0.72727300
2.54000000 8.22652000 2.54545000
2.58000000 2.39202000 3.09091000
2.62000000 3.09273000 3.81818000
2.66000000 0.75010300 4.00000000
2.70000000 1.45609000 4.36364000
2.74000000 2.82777000 5.09091000
2.78000000 4.12047000 6.18182000
2.82000000 3.33701000 7.09091000
2.86000000 7.13750000 9.09091000
2.90000000 3.15544000 10.00000000
2.94000000 1.22806000 10.36360000
2.98000000 4.18361000 11.63640000
3.02000000 1.16386000 12.00000000
3.06000000 0.00000000 12.00000000
3.10000000 1.10457000 12.36360000
3.14000000 0.00000000 12.36360000
3.18000000 0.00000000 12.36360000
3.22000000 0.00000000 12.36360000
3.26000000 0.00000000 12.36360000
3.30000000 0.00000000 12.36360000
3.34000000 0.00000000 12.36360000
3.38000000 0.00000000 12.36360000
3.42000000 0.90753900 12.72730000
3.46000000 0.00000000 12.72730000
3.50000000 0.00000000 12.72730000
3.54000000 0.00000000 12.72730000
3.58000000 0.41411600 12.90910000
3.62000000 0.00000000 12.90910000
3.66000000 0.00000000 12.90910000
3.70000000 0.00000000 12.90910000
3.74000000 0.00000000 12.90910000
3.78000000 0.00000000 12.90910000
3.82000000 0.36371600 13.09090000
3.86000000 0.00000000 13.09090000
3.90000000 0.34894700 13.27270000
3.94000000 1.36759000 14.00000000
3.98000000 0.33506000 14.18180000
4.02000000 0.65685100 14.54550000
4.06000000 0.00000000 14.54550000
4.10000000 0.63146800 14.90910000
4.14000000 0.61932500 15.27270000
4.18000000 0.00000000 15.27270000
4.22000000 1.78820000 16.36360000
4.26000000 4.09447000 18.90910000
4.30000000 1.14819000 19.63640000
4.34000000 1.12712000 20.36360000
4.38000000 1.38328000 21.27270000
4.42000000 2.71672000 23.09090000
4.46000000 1.60093000 24.18180000
4.50000000 0.00000000 24.18180000
4.54000000 1.03000000 24.90910000
4.58000000 1.77116000 26.18180000
4.62000000 2.48660000 28.00000000
4.66000000 1.95528000 29.45450000
4.70000000 0.00000000 29.45450000
4.74000000 0.47245800 29.81820000
4.78000000 2.09063000 31.45450000
4.82000000 1.37072000 32.54550000
4.86000000 2.02237000 34.18180000
4.90000000 0.66316100 34.72730000
4.94000000 1.30493000 35.81820000
4.98000000 0.64202600 36.36360000
5.02000000 0.42122400 36.72730000
5.06000000 0.62188600 37.27270000
5.10000000 0.81622500 38.00000000
5.14000000 1.00446000 38.90910000
5.18000000 1.58242000 40.36360000
5.22000000 0.97391100 41.27270000
5.26000000 0.38366200 41.63640000
5.30000000 0.75578600 42.36360000
5.34000000 2.04739000 44.36360000
5.38000000 1.46695000 45.81820000
5.42000000 1.44538000 47.27270000
5.46000000 0.71214000 48.00000000
5.50000000 2.28091000 50.36360000
5.54000000 2.07516000 52.54550000
5.58000000 2.21598000 54.90910000
5.62000000 0.33608400 55.27270000
5.66000000 0.66270100 56.00000000
5.70000000 0.65343300 56.72730000
5.74000000 0.96653700 57.81820000
5.78000000 0.00000000 57.81820000
5.82000000 0.00000000 57.81820000
5.86000000 0.30911900 58.18180000
5.90000000 0.30494200 58.54550000
5.94000000 0.90254600 59.63640000
5.98000000 0.29683700 60.00000000
6.02000000 0.29290600 60.36360000
6.06000000 0.57810400 61.09090000
6.10000000 0.42791000 61.63640000
6.14000000 1.12627000 63.09090000
6.18000000 0.27793600 63.45450000
6.22000000 1.23468000 65.09090000
6.26000000 0.54175400 65.81820000
6.30000000 0.66862100 66.72730000
6.34000000 0.00000000 66.72730000
6.38000000 0.52156700 67.45450000
6.42000000 1.54526000 69.63640000
6.46000000 1.01746000 71.09090000
6.50000000 0.87935200 72.36360000
6.54000000 2.35770000 75.81820000
6.58000000 1.47103000 78.00000000
6.62000000 1.45330000 80.18180000
6.66000000 1.67522000 82.72730000
6.70000000 1.53704000 85.09090000
6.74000000 1.16835000 86.90910000
6.78000000 0.92368100 88.36360000
6.82000000 1.14110000 90.18180000
6.86000000 1.46618000 92.54550000
6.90000000 1.22627000 94.54550000
6.94000000 1.43257000 96.90910000
6.98000000 0.87150600 98.36360000
7.02000000 1.61551000 101.09100000
