# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 1.80579592 0.54545455
2.49000000 3.43964456 1.63636364
2.55000000 2.73307551 2.54545455
2.61000000 2.60886669 3.45454545
2.67000000 2.49293658 4.36363636
2.73000000 2.86147858 5.45454545
2.79000000 1.82648820 6.18181818
2.85000000 4.81358836 8.18181818
2.91000000 3.77766263 9.81818182
2.97000000 2.82067075 11.09090909
3.03000000 1.54861181 11.81818182
3.09000000 1.11679298 12.36363636
3.15000000 0.00000000 12.36363636
3.21000000 0.34495251 12.54545455
3.27000000 0.00000000 12.54545455
3.33000000 0.00000000 12.54545455
3.39000000 0.00000000 12.54545455
3.45000000 0.00000000 12.54545455
3.51000000 0.00000000 12.54545455
3.57000000 0.00000000 12.54545455
3.63000000 1.07899362 13.27272727
3.69000000 0.26104761 13.45454545
3.75000000 0.00000000 13.45454545
3.81000000 0.00000000 13.45454545
3.87000000 0.00000000 13.45454545
3.93000000 0.57534520 13.90909091
3.99000000 0.11163440 14.00000000
4.05000000 0.21670256 14.18181818
4.11000000 0.00000000 14.18181818
4.17000000 0.61323040 14.72727273
4.23000000 1.88719863 16.45454545
4.29000000 1.35194306 17.72727273
4.35000000 3.00549913 20.63636364
4.41000000 0.73106861 21.36363636
4.47000000 1.06736193 22.45454545
4.53000000 0.34642503 22.81818182
4.59000000 1.34970997 24.27272727
4.65000000 1.97265591 26.45454545
4.71000000 1.28181197 27.90909091
4.77000000 0.62488418 28.63636364
4.83000000 0.45709180 29.18181818
4.89000000 0.81756360 30.18181818
4.95000000 0.50773179 30.81818182
5.01000000 0.49564351 31.45454545
5.07000000 0.55312212 32.18181818
5.13000000 0.00000000 32.18181818
5.19000000 0.39588015 32.72727273
5.25000000 0.25792218 33.09090909
5.31000000 0.63031605 34.00000000
5.37000000 0.24652384 34.36363636
5.43000000 0.48221191 35.09090909
5.49000000 0.47172946 35.81818182
5.55000000 1.50015170 38.18181818
5.61000000 0.11294114 38.36363636
5.67000000 0.38697232 39.00000000
5.73000000 0.21652039 39.36363636
5.79000000 0.00000000 39.36363636
5.85000000 0.00000000 39.36363636
5.91000000 0.10176615 39.54545455
5.97000000 0.00000000 39.54545455
