# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 2.09520000 0.40000000
2.58000000 0.00000000 0.40000000
2.62000000 3.93842000 1.20000000
2.66000000 7.64172000 2.80000000
2.70000000 3.70849000 3.60000000
2.74000000 3.60101000 4.40000000
2.78000000 3.49813000 5.20000000
2.82000000 3.39959000 6.00000000
2.86000000 4.95775000 7.20000000
2.90000000 0.00000000 7.20000000
2.94000000 0.00000000 7.20000000
2.98000000 0.00000000 7.20000000
3.02000000 0.00000000 7.20000000
3.06000000 0.00000000 7.20000000
3.10000000 5.62643000 8.80000000
3.14000000 5.48400000 10.40000000
3.18000000 0.66836300 10.60000000
3.22000000 0.00000000 10.60000000
3.26000000 0.00000000 10.60000000
3.30000000 1.24128000 11.00000000
3.34000000 2.42345000 11.80000000
3.38000000 0.00000000 11.80000000
3.42000000 0.00000000 11.80000000
3.46000000 0.00000000 11.80000000
3.50000000 0.00000000 11.80000000
3.54000000 2.15735000 12.60000000
3.58000000 0.00000000 12.60000000
3.62000000 0.00000000 12.60000000
3.66000000 0.00000000 12.60000000
3.70000000 0.00000000 12.60000000
3.74000000 0.48319800 12.80000000
3.78000000 0.94605200 13.20000000
3.82000000 0.92634300 13.60000000
3.86000000 0.00000000 13.60000000
3.90000000 0.00000000 13.60000000
3.94000000 3.48310000 15.20000000
3.98000000 0.00000000 15.20000000
4.02000000 0.00000000 15.20000000
4.06000000 1.64013000 16.00000000
4.10000000 0.00000000 16.00000000
4.14000000 1.57735000 16.80000000
4.18000000 0.00000000 16.80000000
4.22000000 1.51811000 17.60000000
4.26000000 0.00000000 17.60000000
4.30000000 0.00000000 17.60000000
4.34000000 0.00000000 17.60000000
4.38000000 0.00000000 17.60000000
4.42000000 0.00000000 17.60000000
4.46000000 0.00000000 17.60000000
4.50000000 1.33507000 18.40000000
4.54000000 3.27913000 20.40000000
4.58000000 1.28884000 21.20000000
4.62000000 0.00000000 21.20000000
4.66000000 0.00000000 21.20000000
4.70000000 0.00000000 21.20000000
4.74000000 0.00000000 21.20000000
4.78000000 1.18324000 22.00000000
4.82000000 1.16369000 22.80000000
4.86000000 0.00000000 22.80000000
4.90000000 0.00000000 22.80000000
4.94000000 3.32351000 25.20000000
4.98000000 0.00000000 25.20000000
5.02000000 0.00000000 25.20000000
5.06000000 3.16775000 27.60000000
5.10000000 4.15767000 30.80000000
5.14000000 3.06991000 33.20000000
5.18000000 2.01512000 34.80000000
5.22000000 3.47262000 37.60000000
5.26000000 0.00000000 37.60000000
5.30000000 0.96245100 38.40000000
5.34000000 1.89617000 40.00000000
5.38000000 1.40106000 41.20000000
5.42000000 0.92030600 42.00000000
5.46000000 0.90687100 42.80000000
5.50000000 1.78746000 44.40000000
5.54000000 2.20217000 46.40000000
5.58000000 0.00000000 46.40000000
5.62000000 2.56791000 48.80000000
5.66000000 2.53174000 51.20000000
5.70000000 0.83211100 52.00000000
5.74000000 1.23083000 53.20000000
5.78000000 0.80923600 54.00000000
5.82000000 0.00000000 54.00000000
5.86000000 0.00000000 54.00000000
5.90000000 0.00000000 54.00000000
5.94000000 1.53246000 55.60000000
5.98000000 0.00000000 55.60000000
6.02000000 2.23800000 58.00000000
6.06000000 0.00000000 58.00000000
6.10000000 0.00000000 58.00000000
6.14000000 0.00000000 58.00000000
6.18000000 0.00000000 58.00000000
6.22000000 0.69879600 58.80000000
6.26000000 2.06968000 61.20000000
6.30000000 0.68116100 62.00000000
6.34000000 0.16814800 62.20000000
6.38000000 0.00000000 62.20000000
6.42000000 0.65593500 63.00000000
6.46000000 1.29568000 64.60000000
6.50000000 1.27978000 66.20000000
6.54000000 0.00000000 66.20000000
6.58000000 0.00000000 66.20000000
6.62000000 1.54225000 68.20000000
6.66000000 0.00000000 68.20000000
6.70000000 1.20451000 69.80000000
6.74000000 0.00000000 69.80000000
6.78000000 1.17626000 71.40000000
6.82000000 0.58125000 72.20000000
6.86000000 0.00000000 72.20000000
6.90000000 1.27766000 74.00000000
6.94000000 1.68397000 76.40000000
6.98000000 1.66472000 78.80000000
7.02000000 1.09720000 80.40000000
