# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 10.38900000 2.00000000
2.58000000 0.00000000 2.00000000
2.62000000 9.76424000 4.00000000
2.66000000 0.00000000 4.00000000
2.70000000 0.00000000 4.00000000
2.74000000 0.00000000 4.00000000
2.78000000 0.00000000 4.00000000
2.82000000 0.00000000 4.00000000
2.86000000 0.00000000 4.00000000
2.90000000 0.00000000 4.00000000
2.94000000 0.00000000 4.00000000
2.98000000 7.54763000 6.00000000
3.02000000 1.22484000 6.33333000
3.06000000 14.31630000 10.33330000
3.10000000 6.97461000 12.33330000
3.14000000 0.00000000 12.33330000
3.18000000 0.00000000 12.33330000
3.22000000 3.23223000 13.33330000
3.26000000 0.00000000 13.33330000
3.30000000 0.00000000 13.33330000
3.34000000 0.00000000 13.33330000
3.38000000 0.00000000 13.33330000
3.42000000 0.00000000 13.33330000
3.46000000 0.00000000 13.33330000
3.50000000 0.00000000 13.33330000
3.54000000 0.00000000 13.33330000
3.58000000 0.00000000 13.33330000
3.62000000 0.00000000 13.33330000
3.66000000 0.00000000 13.33330000
3.70000000 0.00000000 13.33330000
3.74000000 0.00000000 13.33330000
3.78000000 0.00000000 13.33330000
3.82000000 0.00000000 13.33330000
3.86000000 0.00000000 13.33330000
3.90000000 0.00000000 13.33330000
3.94000000 0.00000000 13.33330000
3.98000000 0.00000000 13.33330000
4.02000000 0.00000000 13.33330000
4.06000000 0.00000000 13.33330000
4.10000000 0.00000000 13.33330000
4.14000000 0.00000000 13.33330000
4.18000000 0.00000000 13.33330000
4.22000000 0.00000000 13.33330000
4.26000000 0.00000000 13.33330000
4.30000000 0.00000000 13.33330000
4.34000000 0.00000000 13.33330000
4.38000000 3.49380000 15.33330000
4.42000000 0.00000000 15.33330000
4.46000000 0.00000000 15.33330000
4.50000000 0.00000000 15.33330000
4.54000000 6.50377000 19.33330000
4.58000000 3.19533000 21.33330000
4.62000000 1.04675000 22.00000000
4.66000000 0.00000000 22.00000000
4.70000000 3.03425000 24.00000000
4.74000000 0.00000000 24.00000000
4.78000000 5.86707000 28.00000000
4.82000000 5.77009000 32.00000000
4.86000000 0.00000000 32.00000000
4.90000000 0.00000000 32.00000000
4.94000000 0.00000000 32.00000000
4.98000000 0.00000000 32.00000000
5.02000000 0.00000000 32.00000000
5.06000000 0.00000000 32.00000000
5.10000000 7.73087000 38.00000000
5.14000000 0.00000000 38.00000000
5.18000000 0.00000000 38.00000000
5.22000000 0.00000000 38.00000000
5.26000000 7.26770000 44.00000000
5.30000000 0.00000000 44.00000000
5.34000000 0.00000000 44.00000000
5.38000000 0.00000000 44.00000000
5.42000000 0.00000000 44.00000000
5.46000000 0.00000000 44.00000000
5.50000000 0.00000000 44.00000000
5.54000000 0.00000000 44.00000000
5.58000000 0.00000000 44.00000000
5.62000000 0.00000000 44.00000000
5.66000000 0.00000000 44.00000000
5.70000000 0.00000000 44.00000000
5.74000000 4.06868000 48.00000000
5.78000000 0.00000000 48.00000000
5.82000000 1.97880000 50.00000000
5.86000000 3.90375000 54.00000000
5.90000000 0.00000000 54.00000000
5.94000000 0.00000000 54.00000000
5.98000000 0.93716400 55.00000000
6.02000000 0.00000000 55.00000000
6.06000000 3.65033000 59.00000000
6.10000000 3.60262000 63.00000000
6.14000000 0.00000000 63.00000000
6.18000000 0.87748800 64.00000000
6.22000000 0.00000000 64.00000000
6.26000000 0.00000000 64.00000000
6.30000000 0.00000000 64.00000000
6.34000000 0.00000000 64.00000000
6.38000000 0.00000000 64.00000000
6.42000000 0.00000000 64.00000000
6.46000000 0.00000000 64.00000000
6.50000000 0.00000000 64.00000000
6.54000000 0.00000000 64.00000000
6.58000000 0.00000000 64.00000000
6.62000000 0.00000000 64.00000000
6.66000000 0.00000000 64.00000000
6.70000000 2.98627000 68.00000000
6.74000000 0.00000000 68.00000000
6.78000000 0.00000000 68.00000000
6.82000000 0.00000000 68.00000000
6.86000000 4.27289000 74.00000000
6.90000000 2.81566000 78.00000000
6.94000000 2.78330000 82.00000000
6.98000000 2.75149000 86.00000000
7.02000000 2.72022000 90.00000000
