# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 0.00000000 0.00000000
2.67000000 0.00000000 0.00000000
2.73000000 0.00000000 0.00000000
2.79000000 2.54527062 0.87500000
2.85000000 3.13615716 2.00000000
2.91000000 2.67392789 3.00000000
2.97000000 3.20873166 4.25000000
3.03000000 1.84974930 5.00000000
3.09000000 0.00000000 5.00000000
3.15000000 0.00000000 5.00000000
3.21000000 0.00000000 5.00000000
3.27000000 0.00000000 5.00000000
3.33000000 0.00000000 5.00000000
3.39000000 0.00000000 5.00000000
3.45000000 0.00000000 5.00000000
3.51000000 0.00000000 5.00000000
3.57000000 0.00000000 5.00000000
3.63000000 0.00000000 5.00000000
3.69000000 0.00000000 5.00000000
3.75000000 0.00000000 5.00000000
3.81000000 0.00000000 5.00000000
3.87000000 0.00000000 5.00000000
3.93000000 0.00000000 5.00000000
3.99000000 0.00000000 5.00000000
4.05000000 0.17256117 5.12500000
4.11000000 0.00000000 5.12500000
4.17000000 0.48831799 5.50000000
4.23000000 0.00000000 5.50000000
4.29000000 0.46138201 5.87500000
4.35000000 0.89748442 6.62500000
4.41000000 0.29107653 6.87500000
4.47000000 0.14165748 7.00000000
4.53000000 0.00000000 7.00000000
4.59000000 0.00000000 7.00000000
4.65000000 0.00000000 7.00000000
4.71000000 0.00000000 7.00000000
4.77000000 0.00000000 7.00000000
4.83000000 0.00000000 7.00000000
4.89000000 0.00000000 7.00000000
4.95000000 0.00000000 7.00000000
5.01000000 0.45106634 7.50000000
5.07000000 0.11011338 7.62500000
5.13000000 0.21510543 7.87500000
5.19000000 0.73556246 8.75000000
5.25000000 0.10269227 8.87500000
5.31000000 0.00000000 8.87500000
5.37000000 0.09815399 9.00000000
5.43000000 0.00000000 9.00000000
5.49000000 0.00000000 9.00000000
5.55000000 0.00000000 9.00000000
5.61000000 0.00000000 9.00000000
5.67000000 0.00000000 9.00000000
5.73000000 0.00000000 9.00000000
5.79000000 0.00000000 9.00000000
5.85000000 0.00000000 9.00000000
5.91000000 0.00000000 9.00000000
5.97000000 0.00000000 9.00000000
