# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 0.00000000 0.00000000
2.58000000 0.00000000 0.00000000
2.62000000 0.00000000 0.00000000
2.66000000 0.00000000 0.00000000
2.70000000 0.00000000 0.00000000
2.74000000 0.00000000 0.00000000
2.78000000 0.00000000 0.00000000
2.82000000 4.38414000 1.00000000
2.86000000 21.31180000 6.00000000
2.90000000 4.14559000 7.00000000
2.94000000 8.06711000 9.00000000
2.98000000 5.88900000 10.50000000
3.02000000 3.82269000 11.50000000
3.06000000 1.86170000 12.00000000
3.10000000 0.00000000 12.00000000
3.14000000 0.00000000 12.00000000
3.18000000 0.00000000 12.00000000
3.22000000 0.00000000 12.00000000
3.26000000 0.00000000 12.00000000
3.30000000 0.00000000 12.00000000
3.34000000 0.00000000 12.00000000
3.38000000 0.00000000 12.00000000
3.42000000 0.00000000 12.00000000
3.46000000 0.00000000 12.00000000
3.50000000 0.00000000 12.00000000
3.54000000 0.00000000 12.00000000
3.58000000 0.00000000 12.00000000
3.62000000 0.00000000 12.00000000
3.66000000 0.00000000 12.00000000
3.70000000 0.00000000 12.00000000
3.74000000 0.00000000 12.00000000
3.78000000 0.00000000 12.00000000
3.82000000 0.00000000 12.00000000
3.86000000 0.00000000 12.00000000
3.90000000 0.00000000 12.00000000
3.94000000 0.00000000 12.00000000
3.98000000 0.00000000 12.00000000
4.02000000 8.89934000 16.12500000
4.06000000 0.00000000 16.12500000
4.10000000 0.51851200 16.37500000
4.14000000 0.50854100 16.62500000
4.18000000 0.00000000 16.62500000
4.22000000 0.24472100 16.75000000
4.26000000 0.48029400 17.00000000
4.30000000 0.00000000 17.00000000
4.34000000 1.15688000 17.62500000
4.38000000 0.00000000 17.62500000
4.42000000 0.22307600 17.75000000
4.46000000 0.43818400 18.00000000
4.50000000 0.00000000 18.00000000
4.54000000 0.00000000 18.00000000
4.58000000 0.00000000 18.00000000
4.62000000 0.00000000 18.00000000
4.66000000 0.00000000 18.00000000
4.70000000 0.00000000 18.00000000
4.74000000 0.00000000 18.00000000
4.78000000 0.00000000 18.00000000
4.82000000 0.00000000 18.00000000
4.86000000 0.00000000 18.00000000
4.90000000 0.00000000 18.00000000
4.94000000 5.71470000 22.00000000
4.98000000 8.43490000 28.00000000
5.02000000 9.68452000 35.00000000
5.06000000 2.72343000 37.00000000
5.10000000 0.00000000 37.00000000
5.14000000 1.31966000 38.00000000
5.18000000 1.29936000 39.00000000
5.22000000 1.91928000 40.50000000
5.26000000 0.63006600 41.00000000
5.30000000 1.24118000 42.00000000
5.34000000 0.00000000 42.00000000
5.38000000 0.00000000 42.00000000
5.42000000 0.00000000 42.00000000
5.46000000 0.00000000 42.00000000
5.50000000 0.00000000 42.00000000
5.54000000 0.00000000 42.00000000
5.58000000 0.00000000 42.00000000
5.62000000 0.00000000 42.00000000
5.66000000 0.00000000 42.00000000
5.70000000 4.82893000 46.50000000
5.74000000 0.52909600 47.00000000
5.78000000 1.56539000 48.50000000
5.82000000 0.51465000 49.00000000
5.86000000 0.00000000 49.00000000
5.90000000 2.00315000 51.00000000
5.94000000 1.48220000 52.50000000
5.98000000 0.48747900 53.00000000
6.02000000 0.96204400 54.00000000
6.06000000 0.00000000 54.00000000
6.10000000 0.00000000 54.00000000
6.14000000 0.00000000 54.00000000
6.18000000 0.00000000 54.00000000
6.22000000 0.00000000 54.00000000
6.26000000 0.00000000 54.00000000
6.30000000 0.00000000 54.00000000
6.34000000 0.00000000 54.00000000
6.38000000 8.56538000 64.00000000
6.42000000 2.96064000 67.50000000
6.46000000 1.67091000 69.50000000
6.50000000 0.41260200 70.00000000
6.54000000 0.00000000 70.00000000
6.58000000 0.80526100 71.00000000
6.62000000 0.79555900 72.00000000
6.66000000 1.17905000 73.50000000
6.70000000 0.38833700 74.00000000
6.74000000 0.76748300 75.00000000
6.78000000 1.13768000 76.50000000
6.82000000 0.74958300 77.50000000
6.86000000 0.00000000 77.50000000
6.90000000 0.36615100 78.00000000
6.94000000 0.00000000 78.00000000
6.98000000 0.35780600 78.50000000
7.02000000 0.70748000 79.50000000
