# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.47715920 0.13333333
2.61000000 0.45547396 0.26666667
2.67000000 1.08808521 0.60000000
2.73000000 1.45709868 1.06666667
2.79000000 3.98601155 2.40000000
2.85000000 3.05596182 3.46666667
2.91000000 6.96171010 6.00000000
2.97000000 1.40700623 6.53333333
3.03000000 0.33795918 6.66666667
3.09000000 0.97488715 7.06666667
3.15000000 3.12701136 8.40000000
3.21000000 4.81793538 10.53333333
3.27000000 1.16068935 11.06666667
3.33000000 0.55962032 11.33333333
3.39000000 0.00000000 11.33333333
3.45000000 0.00000000 11.33333333
3.51000000 0.00000000 11.33333333
3.57000000 0.00000000 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 0.00000000 11.33333333
3.81000000 0.00000000 11.33333333
3.87000000 0.00000000 11.33333333
3.93000000 0.00000000 11.33333333
3.99000000 0.00000000 11.33333333
4.05000000 0.00000000 11.33333333
4.11000000 0.00000000 11.33333333
4.17000000 0.00000000 11.33333333
4.23000000 0.00000000 11.33333333
4.29000000 0.00000000 11.33333333
4.35000000 0.32795050 11.60000000
4.41000000 0.31908752 11.86666667
4.47000000 0.00000000 11.86666667
4.53000000 0.30240637 12.13333333
4.59000000 1.03093238 13.06666667
4.65000000 1.00449969 14.00000000
4.71000000 0.55946897 14.53333333
4.77000000 1.50007819 16.00000000
4.83000000 1.46304113 17.46666667
4.89000000 1.94639863 19.46666667
4.95000000 1.39296648 20.93333333
5.01000000 0.61809191 21.60000000
5.07000000 0.48283940 22.13333333
5.13000000 0.23580554 22.40000000
5.19000000 0.57596242 23.06666667
5.25000000 0.00000000 23.06666667
5.31000000 0.00000000 23.06666667
5.37000000 0.00000000 23.06666667
5.43000000 0.00000000 23.06666667
5.49000000 0.00000000 23.06666667
5.55000000 0.10073340 23.20000000
5.61000000 0.69013154 24.13333333
5.67000000 0.38605885 24.66666667
5.73000000 0.00000000 24.66666667
5.79000000 0.83300037 25.86666667
5.85000000 0.27200032 26.26666667
5.91000000 0.53301110 27.06666667
5.97000000 0.17411708 27.33333333
