# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 0.00000000 0.00000000
2.58000000 0.00000000 0.00000000
2.62000000 0.00000000 0.00000000
2.66000000 2.68910000 0.53333300
2.70000000 1.30501000 0.80000000
2.74000000 3.48475000 1.53333000
2.78000000 2.46196000 2.06667000
2.82000000 3.88800000 2.93333000
2.86000000 5.23385000 4.13333000
2.90000000 7.91851000 6.00000000
2.94000000 2.20129000 6.53333000
2.98000000 2.14259000 7.06667000
3.02000000 2.08621000 7.60000000
3.06000000 0.00000000 7.60000000
3.10000000 0.98996300 7.86667000
3.14000000 6.75431000 9.73333000
3.18000000 1.88156000 10.26670000
3.22000000 4.58776000 11.60000000
3.26000000 0.00000000 11.60000000
3.30000000 4.36803000 12.93330000
3.34000000 0.85280600 13.20000000
3.38000000 0.00000000 13.20000000
3.42000000 0.81337600 13.46670000
3.46000000 0.00000000 13.46670000
3.50000000 0.00000000 13.46670000
3.54000000 0.00000000 13.46670000
3.58000000 0.00000000 13.46670000
3.62000000 0.00000000 13.46670000
3.66000000 0.00000000 13.46670000
3.70000000 0.00000000 13.46670000
3.74000000 0.00000000 13.46670000
3.78000000 0.00000000 13.46670000
3.82000000 0.00000000 13.46670000
3.86000000 0.00000000 13.46670000
3.90000000 0.00000000 13.46670000
3.94000000 0.00000000 13.46670000
3.98000000 0.00000000 13.46670000
4.02000000 0.00000000 13.46670000
4.06000000 0.00000000 13.46670000
4.10000000 0.00000000 13.46670000
4.14000000 0.00000000 13.46670000
4.18000000 0.00000000 13.46670000
4.22000000 0.00000000 13.46670000
4.26000000 0.00000000 13.46670000
4.30000000 0.00000000 13.46670000
4.34000000 0.00000000 13.46670000
4.38000000 1.98361000 14.53330000
4.42000000 0.00000000 14.53330000
4.46000000 0.00000000 14.53330000
4.50000000 0.00000000 14.53330000
4.54000000 0.92313200 15.06670000
4.58000000 1.36062000 15.86670000
4.62000000 0.44572000 16.13330000
4.66000000 2.40955000 17.60000000
4.70000000 1.50736000 18.53330000
4.74000000 3.17578000 20.53330000
4.78000000 2.49828000 22.13330000
4.82000000 3.48073000 24.40000000
4.86000000 2.51741000 26.06670000
4.90000000 3.07083000 28.13330000
4.94000000 3.41114000 30.46670000
4.98000000 1.24672000 31.33330000
5.02000000 1.13256000 32.13330000
5.06000000 1.11472000 32.93330000
5.10000000 1.28019000 33.86670000
5.14000000 1.80049000 35.20000000
5.18000000 0.17727900 35.33330000
5.22000000 0.34914400 35.60000000
5.26000000 0.00000000 35.60000000
5.30000000 2.54013000 37.60000000
5.34000000 0.33362900 37.86670000
5.38000000 0.00000000 37.86670000
5.42000000 0.16192600 38.00000000
5.46000000 0.79781300 38.66670000
5.50000000 0.62900100 39.20000000
5.54000000 0.61995000 39.73330000
5.58000000 0.61109400 40.26670000
5.62000000 1.05425000 41.20000000
5.66000000 1.48485000 42.53330000
5.70000000 0.73204300 43.20000000
5.74000000 0.43312600 43.60000000
5.78000000 2.13576000 45.60000000
5.82000000 1.40433000 46.93330000
5.86000000 0.83113700 47.73330000
5.90000000 0.81990600 48.53330000
5.94000000 1.88743000 50.40000000
5.98000000 2.52736000 52.93330000
6.02000000 3.01892000 56.00000000
6.06000000 1.29530000 57.33330000
6.10000000 0.51134900 57.86670000
6.14000000 1.51412000 59.46670000
6.18000000 0.74729300 60.26670000
6.22000000 0.49180900 60.80000000
6.26000000 1.45663000 62.40000000
6.30000000 0.00000000 62.40000000
6.34000000 0.00000000 62.40000000
6.38000000 0.23372500 62.66670000
6.42000000 0.23082200 62.93330000
6.46000000 0.45594400 63.46670000
6.50000000 0.00000000 63.46670000
6.54000000 0.00000000 63.46670000
6.58000000 0.00000000 63.46670000
6.62000000 0.00000000 63.46670000
6.66000000 0.00000000 63.46670000
6.70000000 0.84773000 64.53330000
6.74000000 0.00000000 64.53330000
6.78000000 0.62088200 65.33330000
6.82000000 0.20454000 65.60000000
6.86000000 0.20216200 65.86670000
6.90000000 1.59860000 68.00000000
6.94000000 1.18517000 69.60000000
6.98000000 1.17162000 71.20000000
7.02000000 0.57915400 72.00000000
