# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 1.13475952 0.33333333
2.67000000 1.73493481 0.86666667
2.73000000 1.86695438 1.46666667
2.79000000 2.38336235 2.26666667
2.85000000 4.18746213 3.73333333
2.91000000 6.75513966 6.20000000
2.97000000 0.52580845 6.40000000
3.03000000 0.33679413 6.53333333
3.09000000 1.29536857 7.06666667
3.15000000 3.73947794 8.66666667
3.21000000 4.20116070 10.53333333
3.27000000 0.57834405 10.80000000
3.33000000 1.11538229 11.33333333
3.39000000 0.00000000 11.33333333
3.45000000 0.00000000 11.33333333
3.51000000 0.00000000 11.33333333
3.57000000 0.00000000 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 0.00000000 11.33333333
3.81000000 0.00000000 11.33333333
3.87000000 0.00000000 11.33333333
3.93000000 0.00000000 11.33333333
3.99000000 0.00000000 11.33333333
4.05000000 0.00000000 11.33333333
4.11000000 0.00000000 11.33333333
4.17000000 0.00000000 11.33333333
4.23000000 0.00000000 11.33333333
4.29000000 0.00000000 11.33333333
4.35000000 0.32681995 11.60000000
4.41000000 0.31798753 11.86666667
4.47000000 0.00000000 11.86666667
4.53000000 0.30136389 12.13333333
4.59000000 1.02737845 13.06666667
4.65000000 0.71502634 13.73333333
4.71000000 0.55754031 14.26666667
4.77000000 2.17441015 16.40000000
4.83000000 1.59054283 18.00000000
4.89000000 1.55175105 19.60000000
4.95000000 1.32506612 21.00000000
5.01000000 0.43117281 21.46666667
5.07000000 0.72176236 22.26666667
5.13000000 0.46998530 22.80000000
5.19000000 0.22959076 23.06666667
5.25000000 0.00000000 23.06666667
5.31000000 0.00000000 23.06666667
5.37000000 0.00000000 23.06666667
5.43000000 0.00000000 23.06666667
5.49000000 0.00000000 23.06666667
5.55000000 0.20077229 23.33333333
5.61000000 0.78600280 24.40000000
5.67000000 0.19236400 24.66666667
5.73000000 0.09417828 24.80000000
5.79000000 0.64565571 25.73333333
5.85000000 0.54212530 26.53333333
5.91000000 0.53117365 27.33333333
5.97000000 0.00000000 27.33333333
