# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 2.98784000 0.75000000
2.46000000 0.00000000 0.75000000
2.50000000 11.19870000 3.75000000
2.54000000 21.69760000 9.75000000
2.58000000 5.25751000 11.25000000
2.62000000 0.00000000 11.25000000
2.66000000 2.47301000 12.00000000
2.70000000 0.00000000 12.00000000
2.74000000 0.00000000 12.00000000
2.78000000 0.00000000 12.00000000
2.82000000 0.00000000 12.00000000
2.86000000 0.00000000 12.00000000
2.90000000 0.00000000 12.00000000
2.94000000 0.00000000 12.00000000
2.98000000 0.00000000 12.00000000
3.02000000 0.00000000 12.00000000
3.06000000 0.00000000 12.00000000
3.10000000 0.00000000 12.00000000
3.14000000 0.00000000 12.00000000
3.18000000 0.00000000 12.00000000
3.22000000 0.00000000 12.00000000
3.26000000 0.00000000 12.00000000
3.30000000 0.00000000 12.00000000
3.34000000 0.00000000 12.00000000
3.38000000 0.00000000 12.00000000
3.42000000 0.00000000 12.00000000
3.46000000 0.00000000 12.00000000
3.50000000 0.00000000 12.00000000
3.54000000 2.79265000 13.50000000
3.58000000 2.73060000 15.00000000
3.62000000 5.34117000 18.00000000
3.66000000 0.00000000 18.00000000
3.70000000 0.00000000 18.00000000
3.74000000 0.00000000 18.00000000
3.78000000 0.00000000 18.00000000
3.82000000 0.00000000 18.00000000
3.86000000 0.00000000 18.00000000
3.90000000 0.00000000 18.00000000
3.94000000 0.00000000 18.00000000
3.98000000 0.00000000 18.00000000
4.02000000 0.00000000 18.00000000
4.06000000 0.00000000 18.00000000
4.10000000 0.00000000 18.00000000
4.14000000 1.36123000 19.00000000
4.18000000 0.00000000 19.00000000
4.22000000 0.00000000 19.00000000
4.26000000 0.00000000 19.00000000
4.30000000 0.00000000 19.00000000
4.34000000 0.92899900 19.75000000
4.38000000 9.12109000 27.25000000
4.42000000 10.74810000 36.25000000
4.46000000 3.51872000 39.25000000
4.50000000 0.86411200 40.00000000
4.54000000 0.00000000 40.00000000
4.58000000 0.00000000 40.00000000
4.62000000 0.00000000 40.00000000
4.66000000 0.00000000 40.00000000
4.70000000 0.00000000 40.00000000
4.74000000 0.00000000 40.00000000
4.78000000 0.00000000 40.00000000
4.82000000 0.00000000 40.00000000
4.86000000 5.92670000 46.00000000
4.90000000 0.00000000 46.00000000
4.94000000 0.00000000 46.00000000
4.98000000 0.00000000 46.00000000
5.02000000 1.38873000 47.50000000
5.06000000 0.68343100 48.25000000
5.10000000 5.38202000 54.25000000
5.14000000 0.66232200 55.00000000
5.18000000 0.00000000 55.00000000
5.22000000 0.00000000 55.00000000
5.26000000 0.00000000 55.00000000
5.30000000 0.00000000 55.00000000
5.34000000 0.00000000 55.00000000
5.38000000 0.00000000 55.00000000
5.42000000 0.00000000 55.00000000
5.46000000 0.00000000 55.00000000
5.50000000 0.00000000 55.00000000
5.54000000 0.00000000 55.00000000
5.58000000 0.00000000 55.00000000
5.62000000 2.21607000 58.00000000
5.66000000 2.18486000 61.00000000
5.70000000 6.46290000 70.00000000
5.74000000 2.12438000 73.00000000
5.78000000 0.00000000 73.00000000
5.82000000 0.00000000 73.00000000
5.86000000 0.00000000 73.00000000
5.90000000 0.00000000 73.00000000
5.94000000 0.00000000 73.00000000
5.98000000 0.00000000 73.00000000
6.02000000 0.00000000 73.00000000
6.06000000 3.81190000 79.00000000
6.10000000 0.00000000 79.00000000
6.14000000 0.00000000 79.00000000
6.18000000 0.00000000 79.00000000
6.22000000 2.11068000 82.50000000
6.26000000 0.59536900 83.50000000
6.30000000 0.88175000 85.00000000
6.34000000 0.00000000 85.00000000
6.38000000 3.43910000 91.00000000
6.42000000 0.00000000 91.00000000
6.46000000 0.00000000 91.00000000
6.50000000 0.00000000 91.00000000
6.54000000 0.00000000 91.00000000
6.58000000 3.23322000 97.00000000
6.62000000 0.00000000 97.00000000
6.66000000 0.78900200 98.50000000
6.70000000 3.89805000 106.00000000
6.74000000 7.70383000 121.00000000
6.78000000 0.76132000 122.50000000
6.82000000 3.00966000 128.50000000
6.86000000 2.23100000 133.00000000
6.90000000 0.00000000 133.00000000
6.94000000 0.00000000 133.00000000
6.98000000 0.00000000 133.00000000
7.02000000 0.00000000 133.00000000
