# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 11.30410000 2.33333000
2.50000000 3.12722000 3.00000000
2.54000000 0.00000000 3.00000000
2.58000000 3.67037000 3.83333000
2.62000000 0.71183200 4.00000000
2.66000000 0.00000000 4.00000000
2.70000000 0.00000000 4.00000000
2.74000000 0.00000000 4.00000000
2.78000000 0.00000000 4.00000000
2.82000000 0.61444500 4.16667000
2.86000000 4.77902000 5.50000000
2.90000000 9.87721000 8.33333000
2.94000000 6.78373000 10.33330000
2.98000000 6.60284000 12.33330000
3.02000000 0.00000000 12.33330000
3.06000000 0.00000000 12.33330000
3.10000000 3.05078000 13.33330000
3.14000000 0.00000000 13.33330000
3.18000000 0.00000000 13.33330000
3.22000000 0.00000000 13.33330000
3.26000000 0.00000000 13.33330000
3.30000000 0.00000000 13.33330000
3.34000000 0.00000000 13.33330000
3.38000000 0.00000000 13.33330000
3.42000000 0.00000000 13.33330000
3.46000000 0.00000000 13.33330000
3.50000000 0.00000000 13.33330000
3.54000000 0.00000000 13.33330000
3.58000000 0.00000000 13.33330000
3.62000000 0.00000000 13.33330000
3.66000000 0.00000000 13.33330000
3.70000000 0.00000000 13.33330000
3.74000000 0.00000000 13.33330000
3.78000000 0.00000000 13.33330000
3.82000000 0.00000000 13.33330000
3.86000000 0.00000000 13.33330000
3.90000000 0.00000000 13.33330000
3.94000000 0.62953800 13.66670000
3.98000000 0.00000000 13.66670000
4.02000000 0.00000000 13.66670000
4.06000000 0.00000000 13.66670000
4.10000000 0.00000000 13.66670000
4.14000000 0.00000000 13.66670000
4.18000000 0.00000000 13.66670000
4.22000000 3.29262000 15.66670000
4.26000000 0.00000000 15.66670000
4.30000000 4.22832000 18.33330000
4.34000000 2.07537000 19.66670000
4.38000000 3.05646000 21.66670000
4.42000000 0.00000000 21.66670000
4.46000000 1.47390000 22.66670000
4.50000000 1.44781000 23.66670000
4.54000000 0.94827400 24.33330000
4.58000000 2.32946000 26.00000000
4.62000000 2.74715000 28.00000000
4.66000000 4.95036000 31.66670000
4.70000000 0.00000000 31.66670000
4.74000000 0.00000000 31.66670000
4.78000000 0.00000000 31.66670000
4.82000000 0.00000000 31.66670000
4.86000000 2.06878000 33.33330000
4.90000000 1.62811000 34.66670000
4.94000000 1.60185000 36.00000000
4.98000000 0.98513900 36.83330000
5.02000000 0.00000000 36.83330000
5.06000000 7.06134000 43.00000000
5.10000000 0.00000000 43.00000000
5.14000000 0.00000000 43.00000000
5.18000000 0.00000000 43.00000000
5.22000000 0.00000000 43.00000000
5.26000000 0.00000000 43.00000000
5.30000000 0.00000000 43.00000000
5.34000000 1.02815000 44.00000000
5.38000000 1.01292000 45.00000000
5.42000000 0.00000000 45.00000000
5.46000000 0.00000000 45.00000000
5.50000000 2.58453000 47.66670000
5.54000000 2.22892000 50.00000000
5.58000000 0.94160600 51.00000000
5.62000000 3.09417000 54.33330000
5.66000000 0.61011800 55.00000000
5.70000000 0.00000000 55.00000000
5.74000000 0.00000000 55.00000000
5.78000000 1.46262000 56.66670000
5.82000000 2.88517000 60.00000000
5.86000000 2.56132000 63.00000000
5.90000000 0.00000000 63.00000000
5.94000000 0.83093100 64.00000000
5.98000000 0.00000000 64.00000000
6.02000000 0.00000000 64.00000000
6.06000000 0.00000000 64.00000000
6.10000000 1.57583000 66.00000000
6.14000000 0.00000000 66.00000000
6.18000000 0.00000000 66.00000000
6.22000000 0.00000000 66.00000000
6.26000000 0.00000000 66.00000000
6.30000000 0.00000000 66.00000000
6.34000000 0.00000000 66.00000000
6.38000000 0.00000000 66.00000000
6.42000000 1.42265000 68.00000000
6.46000000 0.00000000 68.00000000
6.50000000 0.00000000 68.00000000
6.54000000 0.45697400 68.66670000
6.58000000 0.90287000 70.00000000
6.62000000 3.34497000 75.00000000
6.66000000 2.42360000 78.66670000
6.70000000 1.74164000 81.33330000
6.74000000 2.36641000 85.00000000
6.78000000 1.91338000 88.00000000
6.82000000 3.36177000 93.33330000
6.86000000 2.49201000 97.33330000
6.90000000 1.64214000 100.00000000
6.94000000 0.81163000 101.33300000
6.98000000 0.80235500 102.66700000
7.02000000 1.18986000 104.66700000
