# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 3.00766000 0.75000000
2.54000000 5.82736000 2.25000000
2.58000000 13.17880000 5.75000000
2.62000000 12.77950000 9.25000000
2.66000000 4.87066000 10.62500000
2.70000000 3.00836000 11.50000000
2.74000000 1.66924000 12.00000000
2.78000000 0.00000000 12.00000000
2.82000000 0.00000000 12.00000000
2.86000000 0.00000000 12.00000000
2.90000000 0.00000000 12.00000000
2.94000000 0.00000000 12.00000000
2.98000000 0.00000000 12.00000000
3.02000000 0.00000000 12.00000000
3.06000000 0.00000000 12.00000000
3.10000000 0.00000000 12.00000000
3.14000000 0.00000000 12.00000000
3.18000000 0.00000000 12.00000000
3.22000000 0.00000000 12.00000000
3.26000000 0.00000000 12.00000000
3.30000000 0.00000000 12.00000000
3.34000000 0.00000000 12.00000000
3.38000000 0.00000000 12.00000000
3.42000000 0.00000000 12.00000000
3.46000000 0.00000000 12.00000000
3.50000000 1.53454000 12.75000000
3.54000000 0.00000000 12.75000000
3.58000000 1.46672000 13.50000000
3.62000000 0.95632400 14.00000000
3.66000000 0.93553500 14.50000000
3.70000000 1.83083000 15.50000000
3.74000000 2.68782000 17.00000000
3.78000000 0.87708000 17.50000000
3.82000000 0.00000000 17.50000000
3.86000000 0.00000000 17.50000000
3.90000000 0.82393600 18.00000000
3.94000000 0.00000000 18.00000000
3.98000000 0.00000000 18.00000000
4.02000000 0.00000000 18.00000000
4.06000000 0.00000000 18.00000000
4.10000000 0.00000000 18.00000000
4.14000000 0.00000000 18.00000000
4.18000000 0.00000000 18.00000000
4.22000000 0.00000000 18.00000000
4.26000000 2.76226000 20.00000000
4.30000000 0.00000000 20.00000000
4.34000000 0.00000000 20.00000000
4.38000000 1.63311000 21.25000000
4.42000000 1.92442000 22.75000000
4.46000000 4.72515000 26.50000000
4.50000000 3.71321000 29.50000000
4.54000000 3.95208000 32.75000000
4.58000000 3.88335000 36.00000000
4.62000000 0.88070700 36.75000000
4.66000000 1.15420000 37.75000000
4.70000000 0.28366000 38.00000000
4.74000000 0.00000000 38.00000000
4.78000000 0.00000000 38.00000000
4.82000000 0.00000000 38.00000000
4.86000000 0.00000000 38.00000000
4.90000000 0.52195400 38.50000000
4.94000000 3.59475000 42.00000000
4.98000000 5.05319000 47.00000000
5.02000000 1.98919000 49.00000000
5.06000000 1.10130000 50.12500000
5.10000000 0.48181900 50.62500000
5.14000000 0.47434900 51.12500000
5.18000000 1.63468000 52.87500000
5.22000000 0.68988200 53.62500000
5.26000000 1.01914000 54.75000000
5.30000000 1.00382000 55.87500000
5.34000000 0.00000000 55.87500000
5.38000000 0.00000000 55.87500000
5.42000000 0.00000000 55.87500000
5.46000000 0.00000000 55.87500000
5.50000000 0.10357100 56.00000000
5.54000000 0.00000000 56.00000000
5.58000000 0.00000000 56.00000000
5.62000000 0.39678200 56.50000000
5.66000000 1.56478000 58.50000000
5.70000000 0.77144500 59.50000000
5.74000000 0.38036500 60.00000000
5.78000000 0.00000000 60.00000000
5.82000000 0.73996100 61.00000000
5.86000000 1.09484000 62.50000000
5.90000000 2.16009000 65.50000000
5.94000000 1.06555000 67.00000000
5.98000000 0.00000000 67.00000000
6.02000000 0.34580600 67.50000000
6.06000000 0.34125600 68.00000000
6.10000000 0.33679500 68.50000000
6.14000000 2.99179000 73.00000000
6.18000000 1.31253000 75.00000000
6.22000000 2.26747000 78.50000000
6.26000000 0.95939600 80.00000000
6.30000000 0.00000000 80.00000000
6.34000000 0.93533700 81.50000000
6.38000000 0.92364500 83.00000000
6.42000000 1.36826000 85.25000000
6.46000000 0.15015200 85.50000000
6.50000000 0.59323700 86.50000000
6.54000000 2.78351000 91.25000000
6.58000000 0.57890000 92.25000000
6.62000000 0.57192500 93.25000000
6.66000000 0.56507600 94.25000000
6.70000000 2.51257000 98.75000000
6.74000000 1.93109000 102.25000000
6.78000000 2.99888000 107.75000000
6.82000000 1.21246000 110.00000000
6.86000000 1.73097000 113.25000000
6.90000000 1.84258000 116.75000000
6.94000000 3.38259000 123.25000000
6.98000000 1.67197000 126.50000000
7.02000000 1.14436000 128.75000000
