# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 1.66934000 0.33333300
2.38000000 6.45481000 1.66667000
2.42000000 1.56080000 2.00000000
2.46000000 3.02091000 2.66667000
2.50000000 1.46251000 3.00000000
2.54000000 4.25043000 4.00000000
2.58000000 0.00000000 4.00000000
2.62000000 0.00000000 4.00000000
2.66000000 0.00000000 4.00000000
2.70000000 0.00000000 4.00000000
2.74000000 0.00000000 4.00000000
2.78000000 7.09646000 6.00000000
2.82000000 2.87357000 6.83333000
2.86000000 8.94002000 9.50000000
2.90000000 8.69511000 12.16670000
2.94000000 1.05751000 12.50000000
2.98000000 0.00000000 12.50000000
3.02000000 2.00446000 13.16670000
3.06000000 0.48810000 13.33330000
3.10000000 0.00000000 13.33330000
3.14000000 0.00000000 13.33330000
3.18000000 0.00000000 13.33330000
3.22000000 0.00000000 13.33330000
3.26000000 0.00000000 13.33330000
3.30000000 0.00000000 13.33330000
3.34000000 0.00000000 13.33330000
3.38000000 0.00000000 13.33330000
3.42000000 0.00000000 13.33330000
3.46000000 0.00000000 13.33330000
3.50000000 0.00000000 13.33330000
3.54000000 0.00000000 13.33330000
3.58000000 0.00000000 13.33330000
3.62000000 0.00000000 13.33330000
3.66000000 0.00000000 13.33330000
3.70000000 0.00000000 13.33330000
3.74000000 0.00000000 13.33330000
3.78000000 0.31986800 13.50000000
3.82000000 0.00000000 13.50000000
3.86000000 0.00000000 13.50000000
3.90000000 0.00000000 13.50000000
3.94000000 0.00000000 13.50000000
3.98000000 0.00000000 13.50000000
4.02000000 0.00000000 13.50000000
4.06000000 0.00000000 13.50000000
4.10000000 0.00000000 13.50000000
4.14000000 3.46655000 15.66670000
4.18000000 2.09263000 17.00000000
4.22000000 3.07972000 19.00000000
4.26000000 2.01477000 20.33330000
4.30000000 2.47183000 22.00000000
4.34000000 0.00000000 22.00000000
4.38000000 1.42941000 23.00000000
4.42000000 0.93577300 23.66670000
4.46000000 3.21672000 26.00000000
4.50000000 2.70839000 28.00000000
4.54000000 1.77392000 29.33330000
4.58000000 3.05037000 31.66670000
4.62000000 0.00000000 31.66670000
4.66000000 0.00000000 31.66670000
4.70000000 0.00000000 31.66670000
4.74000000 0.40684500 32.00000000
4.78000000 1.60026000 33.33330000
4.82000000 0.00000000 33.33330000
4.86000000 6.77253000 39.16670000
4.90000000 0.00000000 39.16670000
4.94000000 3.37112000 42.16670000
4.98000000 0.73715200 42.83330000
5.02000000 0.00000000 42.83330000
5.06000000 0.00000000 42.83330000
5.10000000 0.17571800 43.00000000
5.14000000 0.69197300 43.66670000
5.18000000 0.34066400 44.00000000
5.22000000 0.00000000 44.00000000
5.26000000 0.00000000 44.00000000
5.30000000 0.00000000 44.00000000
5.34000000 0.64111100 44.66670000
5.38000000 1.57903000 46.33330000
5.42000000 1.24465000 47.66670000
5.46000000 3.06620000 51.00000000
5.50000000 1.20871000 52.33330000
5.54000000 2.38263000 55.00000000
5.58000000 0.58714800 55.66670000
5.62000000 0.86823000 56.66670000
5.66000000 1.71200000 58.66670000
5.70000000 1.96940000 61.00000000
5.74000000 2.21949000 63.66670000
5.78000000 0.00000000 63.66670000
5.82000000 0.26986100 64.00000000
5.86000000 0.00000000 64.00000000
5.90000000 0.00000000 64.00000000
5.94000000 0.00000000 64.00000000
5.98000000 0.00000000 64.00000000
6.02000000 0.25222800 64.33330000
6.06000000 0.49781800 65.00000000
6.10000000 0.00000000 65.00000000
6.14000000 0.48493100 65.66670000
6.18000000 0.00000000 65.66670000
6.22000000 0.94507300 67.00000000
6.26000000 0.00000000 67.00000000
6.30000000 0.23030600 67.33330000
6.34000000 0.68222700 68.33330000
6.38000000 1.57197000 70.66670000
6.42000000 1.55244000 73.00000000
6.46000000 0.87615600 74.33330000
6.50000000 2.81257000 78.66670000
6.54000000 3.20570000 83.66670000
6.58000000 2.32235000 87.33330000
6.62000000 1.25147000 89.33330000
6.66000000 2.88513000 94.00000000
6.70000000 1.62902000 96.66670000
6.74000000 0.80487200 98.00000000
6.78000000 0.19885100 98.33330000
6.82000000 0.58957500 99.33330000
6.86000000 2.33088000 103.33300000
6.90000000 0.57598300 104.33300000
6.94000000 2.08766000 108.00000000
6.98000000 1.31333000 110.33300000
7.02000000 0.37097300 111.00000000
