# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 3.40371000 0.66666700
2.46000000 4.94088000 1.66667000
2.50000000 1.59468000 2.00000000
2.54000000 4.63455000 3.00000000
2.58000000 0.00000000 3.00000000
2.62000000 1.45195000 3.33333000
2.66000000 2.81722000 4.00000000
2.70000000 0.00000000 4.00000000
2.74000000 0.00000000 4.00000000
2.78000000 0.00000000 4.00000000
2.82000000 0.00000000 4.00000000
2.86000000 1.21849000 4.33333000
2.90000000 10.66600000 7.33333000
2.94000000 9.22468000 10.00000000
2.98000000 6.73403000 12.00000000
3.02000000 1.63921000 12.50000000
3.06000000 0.53221100 12.66670000
3.10000000 0.00000000 12.66670000
3.14000000 0.00000000 12.66670000
3.18000000 1.97121000 13.33330000
3.22000000 0.00000000 13.33330000
3.26000000 0.00000000 13.33330000
3.30000000 0.00000000 13.33330000
3.34000000 0.00000000 13.33330000
3.38000000 0.00000000 13.33330000
3.42000000 0.00000000 13.33330000
3.46000000 0.00000000 13.33330000
3.50000000 0.00000000 13.33330000
3.54000000 0.00000000 13.33330000
3.58000000 0.00000000 13.33330000
3.62000000 0.00000000 13.33330000
3.66000000 0.00000000 13.33330000
3.70000000 0.00000000 13.33330000
3.74000000 0.00000000 13.33330000
3.78000000 0.00000000 13.33330000
3.82000000 0.00000000 13.33330000
3.86000000 0.00000000 13.33330000
3.90000000 0.32764200 13.50000000
3.94000000 0.00000000 13.50000000
3.98000000 0.00000000 13.50000000
4.02000000 0.00000000 13.50000000
4.06000000 0.00000000 13.50000000
4.10000000 0.00000000 13.50000000
4.14000000 0.00000000 13.50000000
4.18000000 0.00000000 13.50000000
4.22000000 2.23869000 14.83330000
4.26000000 2.47146000 16.33330000
4.30000000 0.00000000 16.33330000
4.34000000 3.17491000 18.33330000
4.38000000 3.11719000 20.33330000
4.42000000 1.53051000 21.33330000
4.46000000 1.50318000 22.33330000
4.50000000 0.49219200 22.66670000
4.54000000 1.93423000 24.00000000
4.58000000 1.90059000 25.33330000
4.62000000 1.86782000 26.66670000
4.66000000 2.75384000 28.66670000
4.70000000 4.06076000 31.66670000
4.74000000 0.00000000 31.66670000
4.78000000 0.00000000 31.66670000
4.82000000 0.00000000 31.66670000
4.86000000 0.42197600 32.00000000
4.90000000 1.24534000 33.00000000
4.94000000 0.00000000 33.00000000
4.98000000 5.22450000 37.33330000
5.02000000 0.79101200 38.00000000
5.06000000 1.55711000 39.33330000
5.10000000 1.53278000 40.66670000
5.14000000 2.45215000 42.83330000
5.18000000 0.18572500 43.00000000
5.22000000 0.00000000 43.00000000
5.26000000 0.00000000 43.00000000
5.30000000 0.00000000 43.00000000
5.34000000 0.00000000 43.00000000
5.38000000 0.68869400 43.66670000
5.42000000 0.33928300 44.00000000
5.46000000 0.00000000 44.00000000
5.50000000 0.98845400 45.00000000
5.54000000 1.94846000 47.00000000
5.58000000 2.24073000 49.33330000
5.62000000 3.15565000 52.66670000
5.66000000 0.93336000 53.66670000
5.70000000 1.22708000 55.00000000
5.74000000 0.00000000 55.00000000
5.78000000 1.49168000 56.66670000
5.82000000 1.47124000 58.33330000
5.86000000 0.58049100 59.00000000
5.90000000 1.71794000 61.00000000
5.94000000 2.25984000 63.66670000
5.98000000 0.27871400 64.00000000
6.02000000 0.00000000 64.00000000
6.06000000 0.00000000 64.00000000
6.10000000 0.00000000 64.00000000
6.14000000 0.00000000 64.00000000
6.18000000 0.26096600 64.33330000
6.22000000 0.00000000 64.33330000
6.26000000 0.50867700 65.00000000
6.30000000 0.00000000 65.00000000
6.34000000 0.49592100 65.66670000
6.38000000 0.24486100 66.00000000
6.42000000 0.48363900 66.66670000
6.46000000 0.71650200 67.66670000
6.50000000 1.41542000 69.66670000
6.54000000 0.69908000 70.66670000
6.58000000 0.69060700 71.66670000
6.62000000 1.36457000 73.66670000
6.66000000 2.02235000 76.66670000
6.70000000 2.66436000 80.66670000
6.74000000 2.19402000 84.00000000
6.78000000 1.51775000 86.33330000
6.82000000 2.78571000 90.66670000
6.86000000 1.27076000 92.66670000
6.90000000 2.09345000 96.00000000
6.94000000 0.82775600 97.33330000
6.98000000 0.40914800 98.00000000
7.02000000 0.20224900 98.33330000
