# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 1.16308968 0.33333333
2.43000000 4.42546050 1.66666667
2.49000000 2.10738253 2.33333333
2.55000000 0.00000000 2.33333333
2.61000000 0.00000000 2.33333333
2.67000000 1.83283042 3.00000000
2.73000000 0.00000000 3.00000000
2.79000000 0.00000000 3.00000000
2.85000000 1.60863430 3.66666667
2.91000000 6.17194023 6.33333333
2.97000000 1.48127405 7.00000000
3.03000000 1.06739435 7.50000000
3.09000000 0.34211529 7.66666667
3.15000000 0.65841369 8.00000000
3.21000000 0.00000000 8.00000000
3.27000000 0.00000000 8.00000000
3.33000000 0.00000000 8.00000000
3.39000000 0.00000000 8.00000000
3.45000000 0.00000000 8.00000000
3.51000000 0.00000000 8.00000000
3.57000000 0.00000000 8.00000000
3.63000000 0.00000000 8.00000000
3.69000000 0.00000000 8.00000000
3.75000000 0.00000000 8.00000000
3.81000000 0.00000000 8.00000000
3.87000000 0.21810844 8.16666667
3.93000000 0.00000000 8.16666667
3.99000000 0.00000000 8.16666667
4.05000000 0.00000000 8.16666667
4.11000000 0.00000000 8.16666667
4.17000000 0.00000000 8.16666667
4.23000000 0.00000000 8.16666667
4.29000000 0.00000000 8.16666667
4.35000000 1.03578339 9.16666667
4.41000000 0.00000000 9.16666667
4.47000000 0.00000000 9.16666667
4.53000000 0.31836868 9.50000000
4.59000000 0.31009983 9.83333333
4.65000000 0.30214900 10.16666667
4.71000000 0.00000000 10.16666667
4.77000000 0.00000000 10.16666667
4.83000000 0.00000000 10.16666667
4.89000000 0.00000000 10.16666667
4.95000000 0.00000000 10.16666667
5.01000000 0.52057396 10.83333333
5.07000000 0.00000000 10.83333333
5.13000000 0.12412619 11.00000000
5.19000000 0.00000000 11.00000000
5.25000000 0.00000000 11.00000000
5.31000000 0.00000000 11.00000000
5.37000000 0.00000000 11.00000000
5.43000000 0.00000000 11.00000000
5.49000000 0.00000000 11.00000000
5.55000000 0.00000000 11.00000000
5.61000000 0.00000000 11.00000000
5.67000000 0.00000000 11.00000000
5.73000000 0.00000000 11.00000000
5.79000000 0.00000000 11.00000000
5.85000000 0.00000000 11.00000000
5.91000000 0.00000000 11.00000000
5.97000000 0.00000000 11.00000000
