# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 3.35287000 0.66666700
2.42000000 6.48590000 2.00000000
2.46000000 1.56917000 2.33333000
2.50000000 3.03873000 3.00000000
2.54000000 0.00000000 3.00000000
2.58000000 0.00000000 3.00000000
2.62000000 4.15013000 4.00000000
2.66000000 0.00000000 4.00000000
2.70000000 0.65130700 4.16667000
2.74000000 0.00000000 4.16667000
2.78000000 2.45745000 4.83333000
2.82000000 5.97057000 6.50000000
2.86000000 5.80473000 8.16667000
2.90000000 3.38742000 9.16667000
2.94000000 5.49313000 10.83330000
2.98000000 4.27732000 12.16670000
3.02000000 0.00000000 12.16670000
3.06000000 1.01415000 12.50000000
3.10000000 0.49407400 12.66670000
3.14000000 1.92626000 13.33330000
3.18000000 0.00000000 13.33330000
3.22000000 0.00000000 13.33330000
3.26000000 0.00000000 13.33330000
3.30000000 0.00000000 13.33330000
3.34000000 0.00000000 13.33330000
3.38000000 0.00000000 13.33330000
3.42000000 0.00000000 13.33330000
3.46000000 0.00000000 13.33330000
3.50000000 0.00000000 13.33330000
3.54000000 0.00000000 13.33330000
3.58000000 0.00000000 13.33330000
3.62000000 0.00000000 13.33330000
3.66000000 0.00000000 13.33330000
3.70000000 0.00000000 13.33330000
3.74000000 0.00000000 13.33330000
3.78000000 0.33230200 13.50000000
3.82000000 0.00000000 13.50000000
3.86000000 0.00000000 13.50000000
3.90000000 0.00000000 13.50000000
3.94000000 0.00000000 13.50000000
3.98000000 0.00000000 13.50000000
4.02000000 0.00000000 13.50000000
4.06000000 0.00000000 13.50000000
4.10000000 0.00000000 13.50000000
4.14000000 1.10810000 14.16670000
4.18000000 3.53271000 16.33330000
4.22000000 2.13296000 17.66670000
4.26000000 1.04655000 18.33330000
4.30000000 1.54075000 19.33330000
4.34000000 3.02496000 21.33330000
4.38000000 0.49499400 21.66670000
4.42000000 2.43038000 23.33330000
4.46000000 1.43219000 24.33330000
4.50000000 1.40684000 25.33330000
4.54000000 1.84288000 26.66670000
4.58000000 2.71624000 28.66670000
4.62000000 1.33471000 29.66670000
4.66000000 1.31189000 30.66670000
4.70000000 1.71954000 32.00000000
4.74000000 0.00000000 32.00000000
4.78000000 0.83123300 32.66670000
4.82000000 1.22624000 33.66670000
4.86000000 0.00000000 33.66670000
4.90000000 4.94386000 37.83330000
4.94000000 1.55652000 39.16670000
4.98000000 0.38290400 39.50000000
5.02000000 0.75365300 40.16670000
5.06000000 0.00000000 40.16670000
5.10000000 2.19058000 42.16670000
5.14000000 0.71887400 42.83330000
5.18000000 0.70781400 43.50000000
5.22000000 0.34850400 43.83330000
5.26000000 0.00000000 43.83330000
5.30000000 0.16903100 44.00000000
5.34000000 0.00000000 44.00000000
5.38000000 0.65616700 44.66670000
5.42000000 1.29304000 46.00000000
5.46000000 0.00000000 46.00000000
5.50000000 2.51139000 48.66670000
5.54000000 4.02229000 53.00000000
5.58000000 1.21995000 54.33330000
5.62000000 2.10462000 56.66670000
5.66000000 0.00000000 56.66670000
5.70000000 0.87684100 57.66670000
5.74000000 0.28822100 58.00000000
5.78000000 1.13698000 59.33330000
5.82000000 1.40176000 61.00000000
5.86000000 0.55307500 61.66670000
5.90000000 1.09120000 63.00000000
5.94000000 0.80741700 64.00000000
5.98000000 0.00000000 64.00000000
6.02000000 0.26203300 64.33330000
6.06000000 0.00000000 64.33330000
6.10000000 0.51041100 65.00000000
6.14000000 0.00000000 65.00000000
6.18000000 0.00000000 65.00000000
6.22000000 0.49090700 65.66670000
6.26000000 0.72698000 66.66670000
6.30000000 0.47851800 67.33330000
6.34000000 1.18125000 69.00000000
6.38000000 0.23329700 69.33330000
6.42000000 0.92159400 70.66670000
6.46000000 1.36532000 72.66670000
6.50000000 0.44952400 73.33330000
6.54000000 1.77617000 76.00000000
6.58000000 1.75464000 78.66670000
6.62000000 1.51681000 81.00000000
6.66000000 3.21139000 86.00000000
6.70000000 1.26926000 88.00000000
6.74000000 1.25424000 90.00000000
6.78000000 1.23949000 92.00000000
6.82000000 1.63332000 94.66670000
6.86000000 2.21970000 98.33330000
6.90000000 2.39350000 102.33300000
6.94000000 0.59149700 103.33300000
6.98000000 0.58473700 104.33300000
7.02000000 0.77078900 105.66700000
