# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 1.15048448 0.42105263
2.43000000 0.00000000 0.42105263
2.49000000 5.21135848 2.52631579
2.55000000 5.21746516 4.73684211
2.61000000 0.00000000 4.73684211
2.67000000 0.00000000 4.73684211
2.73000000 0.00000000 4.73684211
2.79000000 0.00000000 4.73684211
2.85000000 0.00000000 4.73684211
2.91000000 0.00000000 4.73684211
2.97000000 0.00000000 4.73684211
3.03000000 0.00000000 4.73684211
3.09000000 0.33840756 4.94736842
3.15000000 0.00000000 4.94736842
3.21000000 0.00000000 4.94736842
3.27000000 0.30217809 5.15789474
3.33000000 0.00000000 5.15789474
3.39000000 0.00000000 5.15789474
3.45000000 0.00000000 5.15789474
3.51000000 0.00000000 5.15789474
3.57000000 1.77468812 6.63157895
3.63000000 0.00000000 6.63157895
3.69000000 0.00000000 6.63157895
3.75000000 0.00000000 6.63157895
3.81000000 0.00000000 6.63157895
3.87000000 0.00000000 6.63157895
3.93000000 0.00000000 6.63157895
3.99000000 0.20296291 6.84210526
4.05000000 0.00000000 6.84210526
4.11000000 0.00000000 6.84210526
4.17000000 0.18581940 7.05263158
4.23000000 0.00000000 7.05263158
4.29000000 0.00000000 7.05263158
4.35000000 1.19531755 8.52631579
4.41000000 0.00000000 8.52631579
4.47000000 0.00000000 8.52631579
4.53000000 0.00000000 8.52631579
4.59000000 0.00000000 8.52631579
4.65000000 0.00000000 8.52631579
4.71000000 0.00000000 8.52631579
4.77000000 0.00000000 8.52631579
4.83000000 0.00000000 8.52631579
4.89000000 0.00000000 8.52631579
4.95000000 0.00000000 8.52631579
5.01000000 0.00000000 8.52631579
5.07000000 0.00000000 8.52631579
5.13000000 0.24556189 8.94736842
5.19000000 0.23991704 9.36842105
5.25000000 0.00000000 9.36842105
5.31000000 0.00000000 9.36842105
5.37000000 0.22410294 9.78947368
5.43000000 0.00000000 9.78947368
5.49000000 0.00000000 9.78947368
5.55000000 0.00000000 9.78947368
5.61000000 1.23203215 12.31578947
5.67000000 0.00000000 12.31578947
5.73000000 0.00000000 12.31578947
5.79000000 0.00000000 12.31578947
5.85000000 0.00000000 12.31578947
5.91000000 0.00000000 12.31578947
5.97000000 0.00000000 12.31578947
