# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 3.48632000 0.84210500
2.42000000 0.00000000 0.84210500
2.46000000 0.00000000 0.84210500
2.50000000 6.31935000 2.52632000
2.54000000 32.13990000 11.36840000
2.58000000 0.00000000 11.36840000
2.62000000 0.00000000 11.36840000
2.66000000 0.00000000 11.36840000
2.70000000 0.00000000 11.36840000
2.74000000 0.00000000 11.36840000
2.78000000 0.00000000 11.36840000
2.82000000 0.00000000 11.36840000
2.86000000 0.00000000 11.36840000
2.90000000 0.00000000 11.36840000
2.94000000 0.00000000 11.36840000
2.98000000 0.00000000 11.36840000
3.02000000 0.00000000 11.36840000
3.06000000 0.52725700 11.57890000
3.10000000 0.00000000 11.57890000
3.14000000 0.00000000 11.57890000
3.18000000 0.00000000 11.57890000
3.22000000 0.00000000 11.57890000
3.26000000 0.00000000 11.57890000
3.30000000 0.45335500 11.78950000
3.34000000 0.00000000 11.78950000
3.38000000 0.00000000 11.78950000
3.42000000 0.00000000 11.78950000
3.46000000 0.00000000 11.78950000
3.50000000 0.00000000 11.78950000
3.54000000 0.19698400 11.89470000
3.58000000 9.43772000 17.05260000
3.62000000 0.37674700 17.26320000
3.66000000 0.00000000 17.26320000
3.70000000 0.00000000 17.26320000
3.74000000 0.00000000 17.26320000
3.78000000 0.00000000 17.26320000
3.82000000 0.00000000 17.26320000
3.86000000 0.00000000 17.26320000
3.90000000 0.00000000 17.26320000
3.94000000 0.00000000 17.26320000
3.98000000 1.24670000 18.10530000
4.02000000 0.00000000 18.10530000
4.06000000 0.00000000 18.10530000
4.10000000 0.00000000 18.10530000
4.14000000 0.00000000 18.10530000
4.18000000 1.13025000 18.94740000
4.22000000 0.00000000 18.94740000
4.26000000 0.00000000 18.94740000
4.30000000 2.13610000 20.63160000
4.34000000 0.00000000 20.63160000
4.38000000 22.64660000 39.15790000
4.42000000 1.01084000 40.00000000
4.46000000 0.00000000 40.00000000
4.50000000 0.00000000 40.00000000
4.54000000 0.00000000 40.00000000
4.58000000 0.00000000 40.00000000
4.62000000 0.00000000 40.00000000
4.66000000 0.00000000 40.00000000
4.70000000 0.00000000 40.00000000
4.74000000 0.87896700 40.84210000
4.78000000 0.00000000 40.84210000
4.82000000 0.00000000 40.84210000
4.86000000 0.83609700 41.68420000
4.90000000 0.00000000 41.68420000
4.94000000 0.00000000 41.68420000
4.98000000 0.00000000 41.68420000
5.02000000 0.00000000 41.68420000
5.06000000 9.06288000 51.57890000
5.10000000 0.00000000 51.57890000
5.14000000 0.74748600 52.42110000
5.18000000 0.73598700 53.26320000
5.22000000 0.00000000 53.26320000
5.26000000 0.00000000 53.26320000
5.30000000 0.00000000 53.26320000
5.34000000 0.00000000 53.26320000
5.38000000 0.00000000 53.26320000
5.42000000 0.67225000 54.10530000
5.46000000 0.00000000 54.10530000
5.50000000 0.00000000 54.10530000
5.54000000 0.00000000 54.10530000
5.58000000 0.63425100 54.94740000
5.62000000 0.00000000 54.94740000
5.66000000 13.56190000 73.47370000
5.70000000 0.60782700 74.31580000
5.74000000 0.00000000 74.31580000
5.78000000 0.00000000 74.31580000
5.82000000 0.00000000 74.31580000
5.86000000 0.00000000 74.31580000
5.90000000 0.00000000 74.31580000
5.94000000 0.55970200 75.15790000
5.98000000 0.00000000 75.15790000
6.02000000 0.54492500 76.00000000
6.06000000 0.00000000 76.00000000
6.10000000 0.00000000 76.00000000
6.14000000 0.00000000 76.00000000
6.18000000 1.29269000 78.10530000
6.22000000 2.29700000 81.89470000
6.26000000 1.00789000 83.57890000
6.30000000 0.99512800 85.26320000
6.34000000 0.00000000 85.26320000
6.38000000 0.00000000 85.26320000
6.42000000 0.00000000 85.26320000
6.46000000 0.94644500 86.94740000
6.50000000 0.93483200 88.63160000
6.54000000 0.92343200 90.31580000
6.58000000 0.05701490 90.42110000
6.62000000 0.95757600 92.21050000
6.66000000 0.22261400 92.63160000
6.70000000 18.47690000 128.00000000
6.74000000 0.00000000 128.00000000
6.78000000 0.00000000 128.00000000
6.82000000 0.00000000 128.00000000
6.86000000 0.00000000 128.00000000
6.90000000 0.10369800 128.21100000
6.94000000 0.00000000 128.21100000
6.98000000 0.00000000 128.21100000
7.02000000 0.00000000 128.21100000
