# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 1.21497563 0.42105263
2.49000000 0.00000000 0.42105263
2.55000000 0.00000000 0.42105263
2.61000000 10.79508099 4.73684211
2.67000000 0.00000000 4.73684211
2.73000000 0.00000000 4.73684211
2.79000000 0.00000000 4.73684211
2.85000000 0.00000000 4.73684211
2.91000000 0.00000000 4.73684211
2.97000000 0.00000000 4.73684211
3.03000000 0.00000000 4.73684211
3.09000000 0.00000000 4.73684211
3.15000000 0.00000000 4.73684211
3.21000000 0.00000000 4.73684211
3.27000000 0.33547835 4.94736842
3.33000000 0.00000000 4.94736842
3.39000000 0.00000000 4.94736842
3.45000000 0.30138598 5.15789474
3.51000000 0.00000000 5.15789474
3.57000000 0.00000000 5.15789474
3.63000000 0.00000000 5.15789474
3.69000000 0.52691417 5.57894737
3.75000000 1.27547041 6.63157895
3.81000000 0.00000000 6.63157895
3.87000000 0.00000000 6.63157895
3.93000000 0.00000000 6.63157895
3.99000000 0.00000000 6.63157895
4.05000000 0.00000000 6.63157895
4.11000000 0.00000000 6.63157895
4.17000000 0.20629684 6.84210526
4.23000000 0.00000000 6.84210526
4.29000000 0.00000000 6.84210526
4.35000000 0.18957750 7.05263158
4.41000000 0.00000000 7.05263158
4.47000000 0.00000000 7.05263158
4.53000000 1.22367890 8.52631579
4.59000000 0.00000000 8.52631579
4.65000000 0.00000000 8.52631579
4.71000000 0.00000000 8.52631579
4.77000000 0.00000000 8.52631579
4.83000000 0.00000000 8.52631579
4.89000000 0.00000000 8.52631579
4.95000000 0.00000000 8.52631579
5.01000000 0.00000000 8.52631579
5.07000000 0.00000000 8.52631579
5.13000000 0.00000000 8.52631579
5.19000000 0.00000000 8.52631579
5.25000000 0.00000000 8.52631579
5.31000000 0.00000000 8.52631579
5.37000000 0.00000000 8.52631579
5.43000000 0.48666274 9.36842105
5.49000000 0.00000000 9.36842105
5.55000000 0.00000000 9.36842105
5.61000000 0.22796717 9.78947368
5.67000000 0.00000000 9.78947368
5.73000000 0.00000000 9.78947368
5.79000000 0.00000000 9.78947368
5.85000000 0.41929206 10.63157895
5.91000000 0.82164360 12.31578947
5.97000000 0.00000000 12.31578947
