# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 3.31692000 0.80000000
2.54000000 12.85310000 4.00000000
2.58000000 12.45770000 7.20000000
2.62000000 3.77506000 8.20000000
2.66000000 0.73247600 8.40000000
2.70000000 0.00000000 8.40000000
2.74000000 0.69032900 8.60000000
2.78000000 0.67060600 8.80000000
2.82000000 1.30343000 9.20000000
2.86000000 0.63361500 9.40000000
2.90000000 0.00000000 9.40000000
2.94000000 1.79881000 10.00000000
2.98000000 0.00000000 10.00000000
3.02000000 11.36510000 14.00000000
3.06000000 0.00000000 14.00000000
3.10000000 0.00000000 14.00000000
3.14000000 0.00000000 14.00000000
3.18000000 0.00000000 14.00000000
3.22000000 0.00000000 14.00000000
3.26000000 0.00000000 14.00000000
3.30000000 0.00000000 14.00000000
3.34000000 0.00000000 14.00000000
3.38000000 0.00000000 14.00000000
3.42000000 0.00000000 14.00000000
3.46000000 0.00000000 14.00000000
3.50000000 0.00000000 14.00000000
3.54000000 0.00000000 14.00000000
3.58000000 0.00000000 14.00000000
3.62000000 0.00000000 14.00000000
3.66000000 0.00000000 14.00000000
3.70000000 0.00000000 14.00000000
3.74000000 0.00000000 14.00000000
3.78000000 0.00000000 14.00000000
3.82000000 0.00000000 14.00000000
3.86000000 0.00000000 14.00000000
3.90000000 0.00000000 14.00000000
3.94000000 0.00000000 14.00000000
3.98000000 0.00000000 14.00000000
4.02000000 2.56566000 15.60000000
4.06000000 1.25768000 16.40000000
4.10000000 1.23326000 17.20000000
4.14000000 3.62862000 19.60000000
4.18000000 0.00000000 19.60000000
4.22000000 3.49235000 22.00000000
4.26000000 5.71179000 26.00000000
4.30000000 0.00000000 26.00000000
4.34000000 0.00000000 26.00000000
4.38000000 0.00000000 26.00000000
4.42000000 0.00000000 26.00000000
4.46000000 0.00000000 26.00000000
4.50000000 0.00000000 26.00000000
4.54000000 1.00580000 26.80000000
4.58000000 0.98830500 27.60000000
4.62000000 0.00000000 27.60000000
4.66000000 0.95466300 28.40000000
4.70000000 1.87697000 30.00000000
4.74000000 0.00000000 30.00000000
4.78000000 1.81466000 31.60000000
4.82000000 0.89233500 32.40000000
4.86000000 0.00000000 32.40000000
4.90000000 1.72687000 34.00000000
4.94000000 1.69902000 35.60000000
4.98000000 11.70290000 46.80000000
5.02000000 4.93590000 51.60000000
5.06000000 0.80969500 52.40000000
5.10000000 0.79704400 53.20000000
5.14000000 2.35406000 55.60000000
5.18000000 2.31784000 58.00000000
5.22000000 0.00000000 58.00000000
5.26000000 0.00000000 58.00000000
5.30000000 0.00000000 58.00000000
5.34000000 0.00000000 58.00000000
5.38000000 0.00000000 58.00000000
5.42000000 0.17642700 58.20000000
5.46000000 0.17385100 58.40000000
5.50000000 0.17133200 58.60000000
5.54000000 0.16886600 58.80000000
5.58000000 0.00000000 58.80000000
5.62000000 0.16409300 59.00000000
5.66000000 0.16178200 59.20000000
5.70000000 0.00000000 59.20000000
5.74000000 0.15730400 59.40000000
5.78000000 0.31026800 59.80000000
5.82000000 0.00000000 59.80000000
5.86000000 0.00000000 59.80000000
5.90000000 0.14888800 60.00000000
5.94000000 0.00000000 60.00000000
5.98000000 0.00000000 60.00000000
6.02000000 0.00000000 60.00000000
6.06000000 2.82259000 64.00000000
6.10000000 0.00000000 64.00000000
6.14000000 0.00000000 64.00000000
6.18000000 0.54280800 64.80000000
6.22000000 1.07170000 66.40000000
6.26000000 2.11609000 69.60000000
6.30000000 0.52232700 70.40000000
6.34000000 3.09454000 75.20000000
6.38000000 0.50931000 76.00000000
6.42000000 2.51491000 80.00000000
6.46000000 1.49032000 82.40000000
6.50000000 2.45339000 86.40000000
6.54000000 2.42347000 90.40000000
6.58000000 3.35173000 96.00000000
6.62000000 1.41915000 98.40000000
6.66000000 1.40216000 100.80000000
6.70000000 0.92364200 102.40000000
6.74000000 5.47627000 112.00000000
6.78000000 0.00000000 112.00000000
6.82000000 0.00000000 112.00000000
6.86000000 0.00000000 112.00000000
6.90000000 0.43543700 112.80000000
6.94000000 0.86086400 114.40000000
6.98000000 0.42551300 115.20000000
7.02000000 0.00000000 115.20000000
