# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 0.00000000 0.00000000
2.58000000 0.00000000 0.00000000
2.62000000 0.00000000 0.00000000
2.66000000 0.00000000 0.00000000
2.70000000 0.00000000 0.00000000
2.74000000 0.00000000 0.00000000
2.78000000 2.70863000 0.50000000
2.82000000 0.00000000 0.50000000
2.86000000 0.00000000 0.50000000
2.90000000 22.40190000 5.00000000
2.94000000 0.00000000 5.00000000
2.98000000 0.00000000 5.00000000
3.02000000 3.44284000 5.75000000
3.06000000 0.00000000 5.75000000
3.10000000 6.53488000 7.25000000
3.14000000 0.00000000 7.25000000
3.18000000 0.00000000 7.25000000
3.22000000 3.02845000 8.00000000
3.26000000 0.00000000 8.00000000
3.30000000 0.00000000 8.00000000
3.34000000 0.00000000 8.00000000
3.38000000 2.74852000 8.75000000
3.42000000 5.36921000 10.25000000
3.46000000 0.00000000 10.25000000
3.50000000 0.00000000 10.25000000
3.54000000 10.02270000 13.25000000
3.58000000 0.00000000 13.25000000
3.62000000 0.00000000 13.25000000
3.66000000 0.00000000 13.25000000
3.70000000 0.00000000 13.25000000
3.74000000 0.00000000 13.25000000
3.78000000 0.00000000 13.25000000
3.82000000 0.00000000 13.25000000
3.86000000 0.00000000 13.25000000
3.90000000 0.00000000 13.25000000
3.94000000 0.00000000 13.25000000
3.98000000 0.00000000 13.25000000
4.02000000 0.00000000 13.25000000
4.06000000 0.00000000 13.25000000
4.10000000 0.00000000 13.25000000
4.14000000 0.00000000 13.25000000
4.18000000 0.00000000 13.25000000
4.22000000 0.00000000 13.25000000
4.26000000 0.00000000 13.25000000
4.30000000 0.00000000 13.25000000
4.34000000 0.00000000 13.25000000
4.38000000 6.54706000 16.25000000
4.42000000 0.00000000 16.25000000
4.46000000 0.00000000 16.25000000
4.50000000 0.00000000 16.25000000
4.54000000 0.00000000 16.25000000
4.58000000 0.00000000 16.25000000
4.62000000 0.00000000 16.25000000
4.66000000 0.00000000 16.25000000
4.70000000 0.00000000 16.25000000
4.74000000 0.00000000 16.25000000
4.78000000 0.00000000 16.25000000
4.82000000 2.70315000 17.75000000
4.86000000 0.00000000 17.75000000
4.90000000 5.23122000 20.75000000
4.94000000 0.00000000 20.75000000
4.98000000 0.00000000 20.75000000
5.02000000 0.00000000 20.75000000
5.06000000 0.00000000 20.75000000
5.10000000 0.00000000 20.75000000
5.14000000 4.75411000 23.75000000
5.18000000 0.00000000 23.75000000
5.22000000 1.15238000 24.50000000
5.26000000 0.00000000 24.50000000
5.30000000 5.58925000 28.25000000
5.34000000 0.00000000 28.25000000
5.38000000 4.33941000 31.25000000
5.42000000 4.27560000 34.25000000
5.46000000 0.00000000 34.25000000
5.50000000 0.00000000 34.25000000
5.54000000 2.04619000 35.75000000
5.58000000 2.68928000 37.75000000
5.62000000 1.98835000 39.25000000
5.66000000 0.00000000 39.25000000
5.70000000 1.93293000 40.75000000
5.74000000 0.00000000 40.75000000
5.78000000 1.87979000 42.25000000
5.82000000 0.92702100 43.00000000
5.86000000 0.00000000 43.00000000
5.90000000 0.00000000 43.00000000
5.94000000 0.00000000 43.00000000
5.98000000 0.00000000 43.00000000
6.02000000 3.46579000 46.00000000
6.06000000 0.00000000 46.00000000
6.10000000 0.00000000 46.00000000
6.14000000 0.00000000 46.00000000
6.18000000 4.93299000 50.50000000
6.22000000 0.00000000 50.50000000
6.26000000 0.00000000 50.50000000
6.30000000 3.16457000 53.50000000
6.34000000 1.56238000 55.00000000
6.38000000 0.00000000 55.00000000
6.42000000 0.00000000 55.00000000
6.46000000 0.00000000 55.00000000
6.50000000 0.00000000 55.00000000
6.54000000 1.46829000 56.50000000
6.58000000 0.00000000 56.50000000
6.62000000 0.00000000 56.50000000
6.66000000 2.83170000 59.50000000
6.70000000 2.79799000 62.50000000
6.74000000 0.00000000 62.50000000
6.78000000 0.00000000 62.50000000
6.82000000 0.00000000 62.50000000
6.86000000 0.00000000 62.50000000
6.90000000 0.00000000 62.50000000
6.94000000 1.30391000 64.00000000
6.98000000 0.00000000 64.00000000
7.02000000 0.00000000 64.00000000
