# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 1.94049000 0.40000000
2.46000000 1.87790000 0.80000000
2.50000000 1.81829000 1.20000000
2.54000000 15.85320000 4.80000000
2.58000000 3.41455000 5.60000000
2.62000000 3.31109000 6.40000000
2.66000000 3.21226000 7.20000000
2.70000000 3.11779000 8.00000000
2.74000000 1.51371000 8.40000000
2.78000000 1.47046000 8.80000000
2.82000000 0.00000000 8.80000000
2.86000000 1.38935000 9.20000000
2.90000000 1.35129000 9.60000000
2.94000000 2.62954000 10.40000000
2.98000000 0.63985700 10.60000000
3.02000000 1.86906000 11.20000000
3.06000000 0.00000000 11.20000000
3.10000000 0.00000000 11.20000000
3.14000000 0.00000000 11.20000000
3.18000000 0.00000000 11.20000000
3.22000000 0.00000000 11.20000000
3.26000000 0.00000000 11.20000000
3.30000000 0.00000000 11.20000000
3.34000000 0.00000000 11.20000000
3.38000000 0.00000000 11.20000000
3.42000000 0.00000000 11.20000000
3.46000000 0.00000000 11.20000000
3.50000000 0.00000000 11.20000000
3.54000000 1.81372000 12.00000000
3.58000000 0.00000000 12.00000000
3.62000000 0.00000000 12.00000000
3.66000000 0.00000000 12.00000000
3.70000000 1.66025000 12.80000000
3.74000000 1.62493000 13.60000000
3.78000000 0.79536100 14.00000000
3.82000000 0.00000000 14.00000000
3.86000000 0.00000000 14.00000000
3.90000000 0.00000000 14.00000000
3.94000000 0.00000000 14.00000000
3.98000000 1.43487000 14.80000000
4.02000000 0.00000000 14.80000000
4.06000000 0.68943900 15.20000000
4.10000000 0.00000000 15.20000000
4.14000000 3.31526000 17.20000000
4.18000000 2.92690000 19.00000000
4.22000000 0.63815100 19.40000000
4.26000000 0.00000000 19.40000000
4.30000000 0.00000000 19.40000000
4.34000000 1.20670000 20.20000000
4.38000000 0.00000000 20.20000000
4.42000000 2.90853000 22.20000000
4.46000000 2.85660000 24.20000000
4.50000000 0.00000000 24.20000000
4.54000000 2.75681000 26.20000000
4.58000000 1.08355000 27.00000000
4.62000000 2.66217000 29.00000000
4.66000000 0.52333200 29.40000000
4.70000000 3.08677000 31.80000000
4.74000000 0.00000000 31.80000000
4.78000000 2.98431000 34.20000000
4.82000000 1.95666000 35.80000000
4.86000000 3.12745000 38.40000000
4.90000000 2.83993000 40.80000000
4.94000000 1.39707000 42.00000000
4.98000000 0.91647500 42.80000000
5.02000000 1.35289000 44.00000000
5.06000000 1.33159000 45.20000000
5.10000000 2.40310000 47.40000000
5.14000000 0.21507700 47.60000000
5.18000000 0.21176800 47.80000000
5.22000000 0.00000000 47.80000000
5.26000000 0.41075100 48.20000000
5.30000000 0.00000000 48.20000000
5.34000000 0.00000000 48.20000000
5.38000000 0.39263200 48.60000000
5.42000000 0.00000000 48.60000000
5.46000000 0.00000000 48.60000000
5.50000000 0.00000000 48.60000000
5.54000000 0.37028000 49.00000000
5.58000000 0.36499000 49.40000000
5.62000000 0.71962700 50.20000000
5.66000000 0.00000000 50.20000000
5.70000000 0.00000000 50.20000000
5.74000000 0.86231500 51.20000000
5.78000000 0.34016900 51.60000000
5.82000000 0.67101800 52.40000000
5.86000000 0.99283300 53.60000000
5.90000000 0.32647200 54.00000000
5.94000000 0.64418000 54.80000000
5.98000000 0.00000000 54.80000000
6.02000000 1.25435000 56.40000000
6.06000000 1.23784000 58.00000000
6.10000000 0.91624500 59.20000000
6.14000000 1.80869000 61.60000000
6.18000000 0.59511800 62.40000000
6.22000000 1.17498000 64.00000000
6.26000000 1.45001000 66.00000000
6.30000000 2.86332000 70.00000000
6.34000000 0.56546000 70.80000000
6.38000000 2.51276000 74.40000000
6.42000000 1.65437000 76.80000000
6.46000000 1.63394000 79.20000000
6.50000000 3.76575000 84.80000000
6.54000000 1.85991000 87.60000000
6.58000000 1.04993000 89.20000000
6.62000000 1.03728000 90.80000000
6.66000000 1.53728000 93.20000000
6.70000000 0.25316300 93.60000000
6.74000000 0.25016700 94.00000000
6.78000000 0.74167300 95.20000000
6.82000000 1.95466000 98.40000000
6.86000000 0.00000000 98.40000000
6.90000000 0.95480000 100.00000000
6.94000000 2.12361000 103.60000000
6.98000000 1.63282000 106.40000000
7.02000000 0.69182700 107.60000000
