# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 4.44899000 0.80000000
2.54000000 0.00000000 0.80000000
2.58000000 0.00000000 0.80000000
2.62000000 4.05079000 1.60000000
2.66000000 0.00000000 1.60000000
2.70000000 0.00000000 1.60000000
2.74000000 0.00000000 1.60000000
2.78000000 14.39180000 4.80000000
2.82000000 0.00000000 4.80000000
2.86000000 6.79895000 6.40000000
2.90000000 0.00000000 6.40000000
2.94000000 0.00000000 6.40000000
2.98000000 0.00000000 6.40000000
3.02000000 0.00000000 6.40000000
3.06000000 11.87850000 9.60000000
3.10000000 7.23371000 11.60000000
3.14000000 1.41012000 12.00000000
3.18000000 0.00000000 12.00000000
3.22000000 0.00000000 12.00000000
3.26000000 0.00000000 12.00000000
3.30000000 0.00000000 12.00000000
3.34000000 0.00000000 12.00000000
3.38000000 0.00000000 12.00000000
3.42000000 0.00000000 12.00000000
3.46000000 0.00000000 12.00000000
3.50000000 0.00000000 12.00000000
3.54000000 0.00000000 12.00000000
3.58000000 0.00000000 12.00000000
3.62000000 0.00000000 12.00000000
3.66000000 0.00000000 12.00000000
3.70000000 0.00000000 12.00000000
3.74000000 0.00000000 12.00000000
3.78000000 0.00000000 12.00000000
3.82000000 0.00000000 12.00000000
3.86000000 0.00000000 12.00000000
3.90000000 0.00000000 12.00000000
3.94000000 0.00000000 12.00000000
3.98000000 3.51084000 13.60000000
4.02000000 1.72066000 14.40000000
4.06000000 3.37385000 16.00000000
4.10000000 0.00000000 16.00000000
4.14000000 0.00000000 16.00000000
4.18000000 3.97864000 18.00000000
4.22000000 0.00000000 18.00000000
4.26000000 0.00000000 18.00000000
4.30000000 0.00000000 18.00000000
4.34000000 0.00000000 18.00000000
4.38000000 0.00000000 18.00000000
4.42000000 1.42332000 18.80000000
4.46000000 0.00000000 18.80000000
4.50000000 2.74633000 20.40000000
4.54000000 0.00000000 20.40000000
4.58000000 0.00000000 20.40000000
4.62000000 0.00000000 20.40000000
4.66000000 0.00000000 20.40000000
4.70000000 0.00000000 20.40000000
4.74000000 0.00000000 20.40000000
4.78000000 0.00000000 20.40000000
4.82000000 0.00000000 20.40000000
4.86000000 0.00000000 20.40000000
4.90000000 0.00000000 20.40000000
4.94000000 6.83669000 25.20000000
4.98000000 0.00000000 25.20000000
5.02000000 0.00000000 25.20000000
5.06000000 6.51626000 30.00000000
5.10000000 0.00000000 30.00000000
5.14000000 0.00000000 30.00000000
5.18000000 0.00000000 30.00000000
5.22000000 14.79710000 41.60000000
5.26000000 0.00000000 41.60000000
5.30000000 0.00000000 41.60000000
5.34000000 3.90055000 44.80000000
5.38000000 0.00000000 44.80000000
5.42000000 0.00000000 44.80000000
5.46000000 3.73099000 48.00000000
5.50000000 0.00000000 48.00000000
5.54000000 0.00000000 48.00000000
5.58000000 0.00000000 48.00000000
5.62000000 0.00000000 48.00000000
5.66000000 0.00000000 48.00000000
5.70000000 0.00000000 48.00000000
5.74000000 1.68793000 49.60000000
5.78000000 0.00000000 49.60000000
5.82000000 3.28370000 52.80000000
5.86000000 0.00000000 52.80000000
5.90000000 0.00000000 52.80000000
5.94000000 0.00000000 52.80000000
5.98000000 0.00000000 52.80000000
6.02000000 0.00000000 52.80000000
6.06000000 0.75718800 53.60000000
6.10000000 1.49458000 55.20000000
6.14000000 0.00000000 55.20000000
6.18000000 0.00000000 55.20000000
6.22000000 1.79684000 57.20000000
6.26000000 0.00000000 57.20000000
6.30000000 0.00000000 57.20000000
6.34000000 0.00000000 57.20000000
6.38000000 0.00000000 57.20000000
6.42000000 0.67465100 58.00000000
6.46000000 0.00000000 58.00000000
6.50000000 0.00000000 58.00000000
6.54000000 2.60048000 61.20000000
6.58000000 2.56896000 64.40000000
6.62000000 0.00000000 64.40000000
6.66000000 2.50762000 67.60000000
6.70000000 6.81385000 76.40000000
6.74000000 1.22422000 78.00000000
6.78000000 0.00000000 78.00000000
6.82000000 1.19567000 79.60000000
6.86000000 0.00000000 79.60000000
6.90000000 2.92026000 83.60000000
6.94000000 0.00000000 83.60000000
6.98000000 0.57074100 84.40000000
7.02000000 0.00000000 84.40000000
