# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 0.00000000 0.00000000
2.58000000 0.00000000 0.00000000
2.62000000 0.00000000 0.00000000
2.66000000 3.64438000 0.66666700
2.70000000 3.53720000 1.33333000
2.74000000 10.30410000 3.33333000
2.78000000 3.33656000 4.00000000
2.82000000 3.24258000 4.66667000
2.86000000 0.00000000 4.66667000
2.90000000 0.00000000 4.66667000
2.94000000 0.00000000 4.66667000
2.98000000 0.00000000 4.66667000
3.02000000 2.82732000 5.33333000
3.06000000 0.00000000 5.33333000
3.10000000 5.36656000 6.66667000
3.14000000 1.30768000 7.00000000
3.18000000 0.00000000 7.00000000
3.22000000 7.46104000 9.00000000
3.26000000 4.85272000 10.33330000
3.30000000 2.36789000 11.00000000
3.34000000 0.00000000 11.00000000
3.38000000 4.51427000 12.33330000
3.42000000 2.20464000 13.00000000
3.46000000 0.00000000 13.00000000
3.50000000 0.00000000 13.00000000
3.54000000 0.00000000 13.00000000
3.58000000 0.00000000 13.00000000
3.62000000 0.00000000 13.00000000
3.66000000 0.00000000 13.00000000
3.70000000 0.00000000 13.00000000
3.74000000 0.00000000 13.00000000
3.78000000 0.90235600 13.33330000
3.82000000 0.00000000 13.33330000
3.86000000 0.00000000 13.33330000
3.90000000 0.00000000 13.33330000
3.94000000 0.00000000 13.33330000
3.98000000 0.00000000 13.33330000
4.02000000 0.00000000 13.33330000
4.06000000 0.00000000 13.33330000
4.10000000 0.00000000 13.33330000
4.14000000 0.00000000 13.33330000
4.18000000 0.00000000 13.33330000
4.22000000 0.00000000 13.33330000
4.26000000 0.00000000 13.33330000
4.30000000 0.00000000 13.33330000
4.34000000 0.00000000 13.33330000
4.38000000 0.00000000 13.33330000
4.42000000 0.00000000 13.33330000
4.46000000 0.00000000 13.33330000
4.50000000 1.27341000 14.00000000
4.54000000 2.50214000 15.33330000
4.58000000 0.61465600 15.66670000
4.62000000 0.00000000 15.66670000
4.66000000 1.18747000 16.33330000
4.70000000 1.16734000 17.00000000
4.74000000 2.86930000 18.66670000
4.78000000 2.25719000 20.00000000
4.82000000 3.88479000 22.33330000
4.86000000 1.09174000 23.00000000
4.90000000 2.14798000 24.33330000
4.94000000 1.05667000 25.00000000
4.98000000 0.51988200 25.33330000
5.02000000 1.02326000 26.00000000
5.06000000 3.02144000 28.00000000
5.10000000 1.98282000 29.33330000
5.14000000 0.97603900 30.00000000
5.18000000 1.92205000 31.33330000
5.22000000 0.00000000 31.33330000
5.26000000 0.93201300 32.00000000
5.30000000 0.00000000 32.00000000
5.34000000 2.71289000 34.00000000
5.38000000 0.00000000 34.00000000
5.42000000 2.63340000 36.00000000
5.46000000 5.18991000 40.00000000
5.50000000 5.11469000 44.00000000
5.54000000 0.00000000 44.00000000
5.58000000 0.00000000 44.00000000
5.62000000 0.00000000 44.00000000
5.66000000 0.00000000 44.00000000
5.70000000 0.00000000 44.00000000
5.74000000 0.00000000 44.00000000
5.78000000 0.77185900 44.66670000
5.82000000 0.00000000 44.66670000
5.86000000 0.75092900 45.33330000
5.90000000 0.74078100 46.00000000
5.94000000 0.73083800 46.66670000
5.98000000 0.72109400 47.33330000
6.02000000 0.00000000 47.33330000
6.06000000 0.70218100 48.00000000
6.10000000 1.38600000 49.33330000
6.14000000 0.68400200 50.00000000
6.18000000 3.03829000 53.00000000
6.22000000 1.33304000 54.33330000
6.26000000 1.31606000 55.66670000
6.30000000 2.59880000 58.33330000
6.34000000 0.64152800 59.00000000
6.38000000 0.63350900 59.66670000
6.42000000 0.62563900 60.33330000
6.46000000 0.00000000 60.33330000
6.50000000 0.30516700 60.66670000
6.54000000 0.00000000 60.66670000
6.58000000 1.78675000 62.66670000
6.62000000 0.58840800 63.33330000
6.66000000 0.00000000 63.33330000
6.70000000 0.57444000 64.00000000
6.74000000 0.00000000 64.00000000
6.78000000 0.00000000 64.00000000
6.82000000 0.00000000 64.00000000
6.86000000 0.00000000 64.00000000
6.90000000 0.00000000 64.00000000
6.94000000 0.00000000 64.00000000
6.98000000 0.52927800 64.66670000
7.02000000 0.52326300 65.33330000
