# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 6.27170000 1.25000000
2.58000000 0.00000000 1.25000000
2.62000000 4.71564000 2.25000000
2.66000000 0.00000000 2.25000000
2.70000000 0.00000000 2.25000000
2.74000000 4.31164000 3.25000000
2.78000000 4.18846000 4.25000000
2.82000000 4.07048000 5.25000000
2.86000000 3.95742000 6.25000000
2.90000000 5.77351000 7.75000000
2.94000000 3.74499000 8.75000000
2.98000000 2.73384000 9.50000000
3.02000000 3.54921000 10.50000000
3.06000000 0.00000000 10.50000000
3.10000000 0.00000000 10.50000000
3.14000000 1.64156000 11.00000000
3.18000000 0.00000000 11.00000000
3.22000000 0.00000000 11.00000000
3.26000000 0.00000000 11.00000000
3.30000000 2.22936000 11.75000000
3.34000000 0.00000000 11.75000000
3.38000000 0.00000000 11.75000000
3.42000000 5.53509000 13.75000000
3.46000000 0.00000000 13.75000000
3.50000000 0.00000000 13.75000000
3.54000000 0.00000000 13.75000000
3.58000000 0.00000000 13.75000000
3.62000000 0.00000000 13.75000000
3.66000000 0.00000000 13.75000000
3.70000000 0.00000000 13.75000000
3.74000000 0.57855400 14.00000000
3.78000000 0.00000000 14.00000000
3.82000000 0.00000000 14.00000000
3.86000000 0.00000000 14.00000000
3.90000000 0.00000000 14.00000000
3.94000000 0.00000000 14.00000000
3.98000000 0.00000000 14.00000000
4.02000000 0.00000000 14.00000000
4.06000000 0.98189700 14.50000000
4.10000000 0.00000000 14.50000000
4.14000000 0.94431600 15.00000000
4.18000000 0.00000000 15.00000000
4.22000000 1.81771000 16.00000000
4.26000000 0.89186500 16.50000000
4.30000000 0.00000000 16.50000000
4.34000000 0.00000000 16.50000000
4.38000000 0.00000000 16.50000000
4.42000000 0.00000000 16.50000000
4.46000000 1.62734000 17.50000000
4.50000000 1.59854000 18.50000000
4.54000000 3.92624000 21.00000000
4.58000000 1.54318000 22.00000000
4.62000000 2.27487000 23.50000000
4.66000000 0.00000000 23.50000000
4.70000000 0.73269500 24.00000000
4.74000000 2.16114000 25.50000000
4.78000000 0.00000000 25.50000000
4.82000000 0.00000000 25.50000000
4.86000000 0.00000000 25.50000000
4.90000000 1.34821000 26.50000000
4.94000000 1.32646000 27.50000000
4.98000000 2.61048000 29.50000000
5.02000000 0.00000000 29.50000000
5.06000000 4.42503000 33.00000000
5.10000000 0.00000000 33.00000000
5.14000000 2.45049000 35.00000000
5.18000000 1.20640000 36.00000000
5.22000000 2.37596000 38.00000000
5.26000000 1.16998000 39.00000000
5.30000000 1.15239000 40.00000000
5.34000000 1.13519000 41.00000000
5.38000000 1.11837000 42.00000000
5.42000000 2.20384000 44.00000000
5.46000000 2.17167000 46.00000000
5.50000000 1.07010000 47.00000000
5.54000000 1.05470000 48.00000000
5.58000000 2.07927000 50.00000000
5.62000000 4.09956000 54.00000000
5.66000000 1.01045000 55.00000000
5.70000000 0.99632300 56.00000000
5.74000000 0.98248500 57.00000000
5.78000000 0.96893400 58.00000000
5.82000000 0.00000000 58.00000000
5.86000000 0.00000000 58.00000000
5.90000000 0.00000000 58.00000000
5.94000000 0.00000000 58.00000000
5.98000000 0.00000000 58.00000000
6.02000000 1.78643000 60.00000000
6.06000000 0.00000000 60.00000000
6.10000000 0.00000000 60.00000000
6.14000000 0.00000000 60.00000000
6.18000000 0.00000000 60.00000000
6.22000000 0.00000000 60.00000000
6.26000000 0.00000000 60.00000000
6.30000000 1.63117000 62.00000000
6.34000000 0.00000000 62.00000000
6.38000000 0.00000000 62.00000000
6.42000000 0.00000000 62.00000000
6.46000000 0.00000000 62.00000000
6.50000000 0.00000000 62.00000000
6.54000000 0.37841200 62.50000000
6.58000000 1.49530000 64.50000000
6.62000000 1.10796000 66.00000000
6.66000000 0.00000000 66.00000000
6.70000000 0.72110900 67.00000000
6.74000000 1.42515000 69.00000000
6.78000000 1.05629000 70.50000000
6.82000000 2.08787000 73.50000000
6.86000000 0.68786300 74.50000000
6.90000000 1.01987000 76.00000000
6.94000000 5.37677000 84.00000000
6.98000000 0.99662300 85.50000000
7.02000000 1.97060000 88.50000000
