# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.80568855 0.25000000
2.49000000 1.91832463 0.87500000
2.55000000 4.75570341 2.50000000
2.61000000 3.84117728 3.87500000
2.67000000 2.33576447 4.75000000
2.73000000 3.51092633 6.12500000
2.79000000 4.88952471 8.12500000
2.85000000 1.75718423 8.87500000
2.91000000 1.68547259 9.62500000
2.97000000 1.88774000 10.50000000
3.03000000 2.33192656 11.62500000
3.09000000 0.99655482 12.12500000
3.15000000 0.95895353 12.62500000
3.21000000 0.00000000 12.62500000
3.27000000 0.00000000 12.62500000
3.33000000 0.64356563 13.00000000
3.39000000 0.00000000 13.00000000
3.45000000 0.00000000 13.00000000
3.51000000 0.00000000 13.00000000
3.57000000 0.00000000 13.00000000
3.63000000 0.00000000 13.00000000
3.69000000 0.00000000 13.00000000
3.75000000 0.33832182 13.25000000
3.81000000 0.00000000 13.25000000
3.87000000 0.00000000 13.25000000
3.93000000 0.61608163 13.75000000
3.99000000 0.29884626 14.00000000
4.05000000 0.29005731 14.25000000
4.11000000 1.40825224 15.50000000
4.17000000 1.09441539 16.50000000
4.23000000 0.26589721 16.75000000
4.29000000 1.03404665 17.75000000
4.35000000 0.00000000 17.75000000
4.41000000 0.48926925 18.25000000
4.47000000 0.47622285 18.75000000
4.53000000 0.00000000 18.75000000
4.59000000 0.45164816 19.25000000
4.65000000 0.44006808 19.75000000
4.71000000 1.07231929 21.00000000
4.77000000 1.46371781 22.75000000
4.83000000 1.42757849 24.50000000
4.89000000 1.19379536 26.00000000
4.95000000 0.77668708 27.00000000
5.01000000 0.37909771 27.50000000
5.07000000 0.37017818 28.00000000
5.13000000 0.36156977 28.50000000
5.19000000 0.17662910 28.75000000
5.25000000 0.17261497 29.00000000
5.31000000 0.00000000 29.00000000
5.37000000 0.00000000 29.00000000
5.43000000 0.00000000 29.00000000
5.49000000 0.15785298 29.25000000
5.55000000 0.15445843 29.50000000
5.61000000 0.00000000 29.50000000
5.67000000 0.00000000 29.50000000
5.73000000 0.14490674 29.75000000
5.79000000 0.14191908 30.00000000
5.85000000 0.00000000 30.00000000
5.91000000 0.00000000 30.00000000
5.97000000 0.00000000 30.00000000
