# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 0.00000000 0.00000000
2.58000000 0.00000000 0.00000000
2.62000000 0.00000000 0.00000000
2.66000000 2.32064000 0.50000000
2.70000000 6.75716000 2.00000000
2.74000000 4.37421000 3.00000000
2.78000000 6.37386000 4.50000000
2.82000000 7.22672000 6.25000000
2.86000000 5.01856000 7.50000000
2.90000000 3.90486000 8.50000000
2.94000000 0.00000000 8.50000000
2.98000000 2.77352000 9.25000000
3.02000000 1.80036000 9.75000000
3.06000000 1.31520000 10.12500000
3.10000000 0.00000000 10.12500000
3.14000000 0.41634500 10.25000000
3.18000000 2.84156000 11.12500000
3.22000000 0.00000000 11.12500000
3.26000000 2.31755000 11.87500000
3.30000000 0.75390300 12.12500000
3.34000000 1.83988000 12.75000000
3.38000000 0.71863800 13.00000000
3.42000000 0.00000000 13.00000000
3.46000000 0.00000000 13.00000000
3.50000000 0.00000000 13.00000000
3.54000000 0.00000000 13.00000000
3.58000000 0.64058700 13.25000000
3.62000000 0.00000000 13.25000000
3.66000000 1.22578000 13.75000000
3.70000000 0.00000000 13.75000000
3.74000000 0.00000000 13.75000000
3.78000000 0.00000000 13.75000000
3.82000000 0.00000000 13.75000000
3.86000000 0.00000000 13.75000000
3.90000000 0.00000000 13.75000000
3.94000000 0.52887400 14.00000000
3.98000000 0.00000000 14.00000000
4.02000000 0.00000000 14.00000000
4.06000000 0.99614600 14.50000000
4.10000000 0.00000000 14.50000000
4.14000000 0.00000000 14.50000000
4.18000000 0.00000000 14.50000000
4.22000000 0.92204100 15.00000000
4.26000000 0.00000000 15.00000000
4.30000000 0.00000000 15.00000000
4.34000000 2.61527000 16.50000000
4.38000000 2.13977000 17.75000000
4.42000000 0.42024400 18.00000000
4.46000000 1.23822000 18.75000000
4.50000000 1.62174000 19.75000000
4.54000000 0.79664400 20.25000000
4.58000000 0.39139500 20.50000000
4.62000000 0.00000000 20.50000000
4.66000000 1.89036000 21.75000000
4.70000000 2.22998000 23.25000000
4.74000000 0.36541800 23.50000000
4.78000000 2.51529000 25.25000000
4.82000000 0.00000000 25.25000000
4.86000000 0.69519000 25.75000000
4.90000000 2.05166000 27.25000000
4.94000000 0.00000000 27.25000000
4.98000000 1.32418000 28.25000000
5.02000000 0.65158200 28.75000000
5.06000000 1.28264000 29.75000000
5.10000000 1.57825000 31.00000000
5.14000000 3.72908000 34.00000000
5.18000000 2.14183000 35.75000000
5.22000000 1.80783000 37.25000000
5.26000000 1.78044000 38.75000000
5.30000000 2.04594000 40.50000000
5.34000000 1.15166000 41.50000000
5.38000000 2.26920000 43.50000000
5.42000000 0.55895700 44.00000000
5.46000000 0.82619500 44.75000000
5.50000000 2.71407000 47.25000000
5.54000000 0.53500400 47.75000000
5.58000000 2.10945000 49.75000000
5.62000000 1.03976000 50.75000000
5.66000000 1.53768000 52.25000000
5.70000000 0.75808600 53.00000000
5.74000000 2.24267000 55.25000000
5.78000000 1.22874000 56.50000000
5.82000000 0.72714700 57.25000000
5.86000000 0.00000000 57.25000000
5.90000000 0.47170800 57.75000000
5.94000000 0.00000000 57.75000000
5.98000000 0.00000000 57.75000000
6.02000000 0.00000000 57.75000000
6.06000000 0.67069200 58.50000000
6.10000000 0.44128300 59.00000000
6.14000000 0.87110500 60.00000000
6.18000000 0.85986500 61.00000000
6.22000000 0.42442000 61.50000000
6.26000000 0.00000000 61.50000000
6.30000000 0.00000000 61.50000000
6.34000000 0.00000000 61.50000000
6.38000000 0.40340000 62.00000000
6.42000000 0.00000000 62.00000000
6.46000000 0.19673500 62.25000000
6.50000000 0.58296400 63.00000000
6.54000000 0.19195200 63.25000000
6.58000000 0.00000000 63.25000000
6.62000000 0.74936100 64.25000000
6.66000000 0.18509700 64.50000000
6.70000000 1.28025000 66.25000000
6.74000000 1.08437000 67.75000000
6.78000000 1.96463000 70.50000000
6.82000000 1.41211000 72.50000000
6.86000000 1.04677000 74.00000000
6.90000000 1.72444000 76.50000000
6.94000000 3.06832000 81.00000000
6.98000000 2.69623000 85.00000000
7.02000000 1.99919000 88.00000000
