# r(A) g(r)_avg coord_avg
0.02000000 0.00000000 0.00000000
0.06000000 0.00000000 0.00000000
0.10000000 0.00000000 0.00000000
0.14000000 0.00000000 0.00000000
0.18000000 0.00000000 0.00000000
0.22000000 0.00000000 0.00000000
0.26000000 0.00000000 0.00000000
0.30000000 0.00000000 0.00000000
0.34000000 0.00000000 0.00000000
0.38000000 0.00000000 0.00000000
0.42000000 0.00000000 0.00000000
0.46000000 0.00000000 0.00000000
0.50000000 0.00000000 0.00000000
0.54000000 0.00000000 0.00000000
0.58000000 0.00000000 0.00000000
0.62000000 0.00000000 0.00000000
0.66000000 0.00000000 0.00000000
0.70000000 0.00000000 0.00000000
0.74000000 0.00000000 0.00000000
0.78000000 0.00000000 0.00000000
0.82000000 0.00000000 0.00000000
0.86000000 0.00000000 0.00000000
0.90000000 0.00000000 0.00000000
0.94000000 0.00000000 0.00000000
0.98000000 0.00000000 0.00000000
1.02000000 0.00000000 0.00000000
1.06000000 0.00000000 0.00000000
1.10000000 0.00000000 0.00000000
1.14000000 0.00000000 0.00000000
1.18000000 0.00000000 0.00000000
1.22000000 0.00000000 0.00000000
1.26000000 0.00000000 0.00000000
1.30000000 0.00000000 0.00000000
1.34000000 0.00000000 0.00000000
1.38000000 0.00000000 0.00000000
1.42000000 0.00000000 0.00000000
1.46000000 0.00000000 0.00000000
1.50000000 0.00000000 0.00000000
1.54000000 0.00000000 0.00000000
1.58000000 0.00000000 0.00000000
1.62000000 0.00000000 0.00000000
1.66000000 0.00000000 0.00000000
1.70000000 0.00000000 0.00000000
1.74000000 0.00000000 0.00000000
1.78000000 0.00000000 0.00000000
1.82000000 0.00000000 0.00000000
1.86000000 0.00000000 0.00000000
1.90000000 0.00000000 0.00000000
1.94000000 0.00000000 0.00000000
1.98000000 0.00000000 0.00000000
2.02000000 0.00000000 0.00000000
2.06000000 0.00000000 0.00000000
2.10000000 0.00000000 0.00000000
2.14000000 0.00000000 0.00000000
2.18000000 0.00000000 0.00000000
2.22000000 0.00000000 0.00000000
2.26000000 0.00000000 0.00000000
2.30000000 0.00000000 0.00000000
2.34000000 0.00000000 0.00000000
2.38000000 0.00000000 0.00000000
2.42000000 0.00000000 0.00000000
2.46000000 0.00000000 0.00000000
2.50000000 0.00000000 0.00000000
2.54000000 0.00000000 0.00000000
2.58000000 0.00000000 0.00000000
2.62000000 0.84150000 0.16666700
2.66000000 0.00000000 0.16666700
2.70000000 2.37712000 0.66666700
2.74000000 0.38470400 0.75000000
2.78000000 5.23198000 1.91667000
2.82000000 5.81098000 3.25000000
2.86000000 8.47436000 5.25000000
2.90000000 10.30280000 7.75000000
2.94000000 4.67802000 8.91667000
2.98000000 5.20374000 10.25000000
3.02000000 0.63335100 10.41670000
3.06000000 1.23380000 10.75000000
3.10000000 0.30054200 10.83330000
3.14000000 0.00000000 10.83330000
3.18000000 0.57122200 11.00000000
3.22000000 0.00000000 11.00000000
3.26000000 0.00000000 11.00000000
3.30000000 0.00000000 11.00000000
3.34000000 0.00000000 11.00000000
3.38000000 0.50562300 11.16670000
3.42000000 1.23466000 11.58330000
3.46000000 1.44754000 12.08330000
3.50000000 1.41464000 12.58330000
3.54000000 0.00000000 12.58330000
3.58000000 0.90141400 12.91670000
3.62000000 0.00000000 12.91670000
3.66000000 0.00000000 12.91670000
3.70000000 0.00000000 12.91670000
3.74000000 0.00000000 12.91670000
3.78000000 0.00000000 12.91670000
3.82000000 0.39585300 13.08330000
3.86000000 0.19384600 13.16670000
3.90000000 0.18989000 13.25000000
3.94000000 1.11632000 13.75000000
3.98000000 0.00000000 13.75000000
4.02000000 0.00000000 13.75000000
4.06000000 1.05131000 14.25000000
4.10000000 1.03090000 14.75000000
4.14000000 0.33702400 14.91670000
4.18000000 0.99181400 15.41670000
4.22000000 0.64873400 15.75000000
4.26000000 0.00000000 15.75000000
4.30000000 0.46861500 16.00000000
4.34000000 0.00000000 16.00000000
4.38000000 0.60220400 16.33330000
4.42000000 0.59135400 16.66670000
4.46000000 0.58079400 17.00000000
4.50000000 1.56892000 17.91670000
4.54000000 0.84075900 18.41670000
4.58000000 0.82613800 18.91670000
4.62000000 1.08253000 19.58330000
4.66000000 0.53201100 19.91670000
4.70000000 0.26149700 20.08330000
4.74000000 0.00000000 20.08330000
4.78000000 0.50563400 20.41670000
4.82000000 1.74047000 21.58330000
4.86000000 2.32334000 23.16670000
4.90000000 1.92469000 24.50000000
4.94000000 2.95882000 26.58330000
4.98000000 0.93167400 27.25000000
5.02000000 2.75066000 29.25000000
5.06000000 5.86591000 33.58330000
5.10000000 2.55400000 35.50000000
5.14000000 1.09322000 36.33330000
5.18000000 1.29168000 37.33330000
5.22000000 1.48395000 38.50000000
5.26000000 0.62634400 39.00000000
5.30000000 0.41128300 39.33330000
5.34000000 0.00000000 39.33330000
5.38000000 0.59871400 39.83330000
5.42000000 0.19663700 40.00000000
5.46000000 0.38753200 40.33330000
5.50000000 0.38191600 40.66670000
5.54000000 0.47052600 41.08330000
5.58000000 0.92760900 41.91670000
5.62000000 0.36578000 42.25000000
5.66000000 1.08189000 43.25000000
5.70000000 2.31130000 45.41670000
5.74000000 2.10388000 47.41670000
5.78000000 1.29679000 48.66670000
5.82000000 1.70536000 50.33330000
5.86000000 1.85038000 52.16670000
5.90000000 1.16160000 53.33330000
5.94000000 0.65486300 54.00000000
5.98000000 0.48459900 54.50000000
6.02000000 0.47818000 55.00000000
6.06000000 1.25837000 56.33330000
6.10000000 0.62096000 57.00000000
6.14000000 0.30644800 57.33330000
6.18000000 0.37811700 57.75000000
6.22000000 0.74653900 58.58330000
6.26000000 0.66332700 59.33330000
6.30000000 0.43662000 59.83330000
6.34000000 0.64669200 60.58330000
6.38000000 1.13530000 61.91670000
6.42000000 1.12120000 63.25000000
6.46000000 0.27684000 63.58330000
6.50000000 0.41016500 64.08330000
6.54000000 0.81032500 65.08330000
6.58000000 1.20075000 66.58330000
6.62000000 1.18629000 68.08330000
6.66000000 1.69301000 70.25000000
6.70000000 0.96510700 71.50000000
6.74000000 0.89010600 72.66670000
6.78000000 0.75397300 73.66670000
6.82000000 0.37257700 74.16670000
6.86000000 0.36824500 74.66670000
6.90000000 1.09196000 76.16670000
6.94000000 0.95947800 77.50000000
6.98000000 0.77066600 78.58330000
7.02000000 0.82051700 79.75000000
