# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.81688595 0.25000000
2.61000000 1.55952262 0.75000000
2.67000000 2.73207399 1.66666667
2.73000000 4.98904118 3.41666667
2.79000000 5.00423972 5.25000000
2.85000000 4.57777142 7.00000000
2.91000000 2.50911434 8.00000000
2.97000000 1.80657256 8.75000000
3.03000000 1.54287630 9.41666667
3.09000000 0.55632839 9.66666667
3.15000000 0.35689160 9.83333333
3.21000000 0.34367493 10.00000000
3.27000000 0.00000000 10.00000000
3.33000000 0.00000000 10.00000000
3.39000000 0.00000000 10.00000000
3.45000000 0.00000000 10.00000000
3.51000000 0.00000000 10.00000000
3.57000000 0.00000000 10.00000000
3.63000000 0.00000000 10.00000000
3.69000000 0.00000000 10.00000000
3.75000000 0.25182495 10.16666667
3.81000000 0.00000000 10.16666667
3.87000000 0.70935101 10.66666667
3.93000000 0.22928573 10.83333333
3.99000000 1.11220948 11.66666667
4.05000000 0.64769990 12.16666667
4.11000000 0.41928488 12.50000000
4.17000000 0.40730614 12.83333333
4.23000000 0.59375025 13.33333333
4.29000000 0.19241942 13.50000000
4.35000000 0.37429598 13.83333333
4.41000000 0.81940611 14.58333333
4.47000000 0.17723480 14.75000000
4.53000000 0.25885650 15.00000000
4.59000000 0.16808889 15.16666667
4.65000000 0.16377916 15.33333333
4.71000000 0.15963307 15.50000000
4.77000000 0.85603352 16.41666667
4.83000000 0.68309834 17.16666667
4.89000000 0.22214608 17.41666667
4.95000000 0.28905790 17.75000000
5.01000000 0.14108795 17.91666667
5.07000000 0.27553678 18.25000000
5.13000000 0.47097616 18.83333333
5.19000000 1.18324185 20.33333333
5.25000000 0.38545039 20.83333333
5.31000000 0.25119263 21.16666667
5.37000000 0.36841621 21.66666667
5.43000000 0.12010649 21.83333333
5.49000000 0.11749559 22.00000000
5.55000000 0.00000000 22.00000000
5.61000000 0.00000000 22.00000000
5.67000000 0.00000000 22.00000000
5.73000000 0.00000000 22.00000000
5.79000000 0.00000000 22.00000000
5.85000000 0.00000000 22.00000000
5.91000000 0.00000000 22.00000000
5.97000000 0.00000000 22.00000000
