id,source,name,type,composition,dataIndex,dataSource,hasPoscar,propertiesWithValues
"Alloy-SS-00001","bcc_Al0_Cu0_Nb0_Ni0_Ta0_W0_Zr24","Zr24","solid-solution","Zr24",0,"init",true,"none"
"Alloy-SS-00002","bcc_Al0_Cu0_Nb0_Ni12_Ta12_W0_Zr0","Ni12Ta12","solid-solution","Ni12Ta12",0,"init",true,"none"
"Alloy-SS-00003","bcc_Al0_Cu0_Nb0_Ni3_Ta3_W15_Zr3","Ni3Zr3Ta3W15","solid-solution","Ni3Zr3Ta3W15",0,"init",true,"none"
"Alloy-SS-00004","bcc_Al0_Cu0_Nb0_Ni9_Ta12_W0_Zr3","Ni9Zr3Ta12","solid-solution","Ni9Zr3Ta12",0,"init",true,"none"
"Alloy-SS-00005","bcc_Al0_Cu0_Nb15_Ni0_Ta0_W0_Zr9","Zr9Nb15","solid-solution","Zr9Nb15",0,"init",true,"none"
"Alloy-SS-00006","bcc_Al0_Cu0_Nb3_Ni0_Ta18_W0_Zr3","Zr3Nb3Ta18","solid-solution","Zr3Nb3Ta18",0,"init",true,"none"
"Alloy-SS-00007","bcc_Al0_Cu0_Nb3_Ni3_Ta12_W6_Zr0","Ni3Nb3Ta12W6","solid-solution","Ni3Nb3Ta12W6",0,"init",true,"none"
"Alloy-SS-00008","bcc_Al0_Cu0_Nb3_Ni9_Ta6_W0_Zr6","Ni9Zr6Nb3Ta6","solid-solution","Ni9Zr6Nb3Ta6",0,"init",true,"none"
"Alloy-SS-00009","bcc_Al0_Cu0_Nb6_Ni3_Ta12_W3_Zr0","Ni3Nb6Ta12W3","solid-solution","Ni3Nb6Ta12W3",0,"init",true,"none"
"Alloy-SS-00010","bcc_Al0_Cu0_Nb9_Ni0_Ta3_W3_Zr9","Zr9Nb9Ta3W3","solid-solution","Zr9Nb9Ta3W3",0,"init",true,"none"
"Alloy-SS-00011","bcc_Al0_Cu12_Nb0_Ni0_Ta12_W0_Zr0","Cu12Ta12","solid-solution","Cu12Ta12",0,"init",true,"none"
"Alloy-SS-00012","bcc_Al0_Cu12_Nb3_Ni9_Ta0_W0_Zr0","Ni9Cu12Nb3","solid-solution","Ni9Cu12Nb3",0,"init",true,"none"
"Alloy-SS-00013","bcc_Al0_Cu18_Nb0_Ni0_Ta0_W0_Zr6","Cu18Zr6","solid-solution","Cu18Zr6",0,"init",true,"none"
"Alloy-SS-00014","bcc_Al0_Cu3_Nb0_Ni0_Ta6_W6_Zr9","Cu3Zr9Ta6W6","solid-solution","Cu3Zr9Ta6W6",0,"init",true,"none"
"Alloy-SS-00015","bcc_Al0_Cu3_Nb0_Ni3_Ta6_W9_Zr3","Ni3Cu3Zr3Ta6W9","solid-solution","Ni3Cu3Zr3Ta6W9",0,"init",true,"none"
