"性质类别","英文字段","中文名称","非晶","合金-固溶体","合金-金属间化合物","单质"
"结构性质","density","密度","√","√","√","√"
"结构性质","latticeParameters","晶格参数","","√","√","√"
"结构性质","latticeParameters.a","晶格常数a","","√","√","√"
"结构性质","latticeParameters.alpha","晶格角α","","√","√","√"
"结构性质","latticeParameters.b","晶格常数b","","√","√","√"
"结构性质","latticeParameters.beta","晶格角β","","√","√","√"
"结构性质","latticeParameters.c","晶格常数c","","√","√","√"
"结构性质","latticeParameters.gamma","晶格角γ","","√","√","√"
"结构性质","latticeParameters.pointGroup","点群","","√","√","√"
"结构性质","rdf","径向分布函数(RDF)","√","√","√","√"
"热力学性质","cohesiveEnergy","内聚能","","","","√"
"热力学性质","diffusionCoefficient","扩散系数","√","√","√","√"
"热力学性质","mixingEnthalpy","混合焓","√","√","√",""
"热力学性质","specificHeat","比热容","√","√","√",""
"热力学性质","specificHeat_p","定压比热(Cp)","√","√","√","√"
"热力学性质","specificHeat_v","定容比热(Cv)","√","√","√","√"
"热力学性质","thermalExpansion","热膨胀系数","√","√","√","√"
"力学性质","bulkModulus","体积模量","","√","√","√"
"力学性质","elasticConstants","弹性常数矩阵","","√","√","√"
"力学性质","poissonsRatio","泊松比","","√","√","√"
"力学性质","shearModulus","剪切模量","","√","√","√"
"力学性质","stressStrain","应力-应变数据","","√","√","√"
"力学性质","stressStrain.0001","应力-应变(0001方向)","","","","√"
"力学性质","stressStrain.001","应力-应变(001方向)","","","","√"
"力学性质","stressStrain.100","应力-应变(100方向)","","","","√"
"力学性质","youngsModulus","杨氏模量","","√","√","√"
"缺陷性质","interstitialFormationEnergy","间隙原子形成能","","√","√","√"
"缺陷性质","interstitialFormationEnergy.basal_crowdion","间隙形成能-基面拥挤子","","","","√"
"缺陷性质","interstitialFormationEnergy.basal_octahedral","间隙形成能-基面八面体位","","","","√"
"缺陷性质","interstitialFormationEnergy.basal_split","间隙形成能-基面分裂位","","","","√"
"缺陷性质","interstitialFormationEnergy.basal_tetrahedral","间隙形成能-基面四面体位","","","","√"
"缺陷性质","interstitialFormationEnergy.crowdion","间隙形成能-拥挤子","","","","√"
"缺陷性质","interstitialFormationEnergy.crowdion111","间隙形成能-拥挤子111","","√","√",""
"缺陷性质","interstitialFormationEnergy.crowdion_110","间隙形成能-拥挤子(110)","","","","√"
"缺陷性质","interstitialFormationEnergy.crowdion_111","间隙形成能-拥挤子(111)","","","","√"
"缺陷性质","interstitialFormationEnergy.dumbbell100","间隙形成能-哑铃位100","","√","√",""
"缺陷性质","interstitialFormationEnergy.dumbbell111","间隙形成能-哑铃位111","","√","√",""
"缺陷性质","interstitialFormationEnergy.dumbbell_100","间隙形成能-哑铃位(100)","","","","√"
"缺陷性质","interstitialFormationEnergy.dumbbell_110","间隙形成能-哑铃位(110)","","","","√"
"缺陷性质","interstitialFormationEnergy.dumbbell_111","间隙形成能-哑铃位(111)","","","","√"
"缺陷性质","interstitialFormationEnergy.octahedral","间隙形成能-八面体位","","","","√"
"缺陷性质","interstitialFormationEnergy.split_dumbbell","间隙形成能-分裂哑铃位","","","","√"
"缺陷性质","interstitialFormationEnergy.tetrahedral","间隙形成能-四面体位","","","","√"
"缺陷性质","stackingFaultEnergy","层错能","","√","√","√"
"缺陷性质","stackingFaultEnergy.100_110_usf","层错能(100_110_usf)","","","","√"
"缺陷性质","stackingFaultEnergy.111_110_usf","层错能(111_110_usf)","","","","√"
"缺陷性质","stackingFaultEnergy.111_112_isf","层错能(111_112_isf)","","","","√"
"缺陷性质","stackingFaultEnergy.111_112_usf","层错能(111_112_usf)","","","","√"
"缺陷性质","vacancyFormationEnergy","空位形成能","","√","√","√"
